chr	motif	n_pos	n_neg	mean_pos	mean_neg	mean_diff	p_value	padj
NC_133182.1	CT	6	6	0.00364531517296796	0.0035017675562277	0.000143547616740263	0.195613329262949	0.489033323157372
NC_133183.1	CA	6	6	0.00705466701174209	0.00714574789526218	-9.1080883520096e-05	0.66453160174956	0.997702042512215
NC_133183.1	CC	6	6	0.00197626317493494	0.00248370441477404	-0.000507441239839103	2.89118696526509e-05	7.65563560210801e-05
NC_133183.1	CT	6	6	0.00344543854975645	0.00402610308741653	-0.000580664537660078	0.000180050020453386	0.00450125051133465
NC_133184.1	CA	6	6	0.0079356372684109	0.00808189164583919	-0.000146254377428285	0.606823069708452	0.997702042512215
NC_133184.1	CC	6	6	0.00201598915798238	0.00253558179870813	-0.000519592640725748	9.71824762161095e-05	0.000142915406200161
NC_133184.1	CT	6	6	0.00341498671385493	0.00351139510284194	-9.64083889870068e-05	0.348707443507611	0.781527002436066
NC_133185.1	CA	6	6	0.00737417552375419	0.00737588304247113	-1.70751871694536e-06	0.996325260479157	0.997702042512215
NC_133185.1	CC	6	6	0.00193915569854713	0.00248272324862456	-0.000543567550077438	0.000720990545179818	0.000751031817895644
NC_133185.1	CT	6	6	0.00339691494664356	0.0034472488386029	-5.03338919593485e-05	0.71647044496273	0.836393873417038
NC_133186.1	CA	6	6	0.00731240403474076	0.00740507836223177	-9.26743274910135e-05	0.726250350993839	0.997702042512215
NC_133186.1	CC	6	6	0.00197001267740597	0.00247538110940392	-0.000505368431997956	0.000221055942460853	0.000263161836262921
NC_133186.1	CT	6	6	0.00316171023170787	0.00322109074240374	-5.93805106958718e-05	0.61078018351625	0.803980272900274
NC_133187.1	CA	6	6	0.00688516226732919	0.00698094084335208	-9.57785760228973e-05	0.682944277918605	0.997702042512215
NC_133187.1	CC	6	6	0.00185017698242411	0.00242374093212883	-0.000573563949704722	9.58566186342939e-06	7.65563560210801e-05
NC_133187.1	CT	6	6	0.00353947438193965	0.00369369013206683	-0.000154215750127178	0.191766354331336	0.489033323157372
NC_133188.1	CA	6	6	0.00720106326164748	0.00724700467036274	-4.59414087152629e-05	0.881160305116266	0.997702042512215
NC_133188.1	CC	6	6	0.00193703147000443	0.00240443151842632	-0.000467400048421888	0.00015470548931854	0.0002035598543665
NC_133188.1	CT	6	6	0.00313575634410688	0.00331478094028399	-0.000179024596177103	0.0944114625489952	0.437574623196207
NC_133189.1	CA	6	6	0.00807574366111039	0.00810311392809685	-2.73702669864647e-05	0.929897948457146	0.997702042512215
NC_133189.1	CC	6	6	0.00200292474216589	0.00259451509968063	-0.000591590357514745	2.51789898685762e-05	7.65563560210801e-05
NC_133189.1	CT	6	6	0.00335070673536651	0.00359405496365076	-0.00024334822828425	0.0417096334635144	0.437574623196207
NC_133190.1	CA	6	6	0.00801998081982513	0.00806543369278869	-4.54528729635691e-05	0.879140361730973	0.997702042512215
NC_133190.1	CC	6	6	0.00211559330035859	0.00267053692377648	-0.000554943623417891	5.29163663212384e-05	9.44935112879258e-05
NC_133190.1	CT	6	6	0.00338633074847639	0.00345882364260633	-7.24928941299458e-05	0.49814270028177	0.781527002436066
NC_133191.1	CA	6	6	0.00698345927739526	0.00709637270108134	-0.000112913423686085	0.759810123264822	0.997702042512215
NC_133191.1	CC	6	6	0.00191947715009131	0.0024570458308675	-0.000537568680776191	0.000993726856831379	0.000993726856831379
NC_133191.1	CT	6	6	0.00323685243514822	0.00316090036807	7.59520670782256e-05	0.542042113895733	0.797120755729019
NC_133192.1	CA	6	6	0.00841885783556714	0.00855202015352946	-0.000133162317962321	0.693407775582009	0.997702042512215
NC_133192.1	CC	6	6	0.00219113045660491	0.002750806578903	-0.000559676122298087	5.17686244358274e-05	9.44935112879258e-05
NC_133192.1	CT	6	6	0.003529305708494	0.00357035290692659	-4.10471984325905e-05	0.77207840490583	0.839215657506337
NC_133193.1	CA	6	6	0.00753870269381493	0.00759944997709458	-6.07472832796566e-05	0.838109816364311	0.997702042512215
NC_133193.1	CC	6	6	0.00199875988463964	0.00250980648525088	-0.000511046600611236	2.56933722702114e-05	7.65563560210801e-05
NC_133193.1	CT	6	6	0.00316925690051625	0.00320110981356164	-3.18529130453908e-05	0.736026608606993	0.836393873417038
NC_133194.1	CA	6	6	0.00734263179025937	0.00737896403454838	-3.63322442890161e-05	0.888308364980176	0.997702042512215
NC_133194.1	CC	6	6	0.00198979583461135	0.00246578687188622	-0.000475991037274867	0.000187023935859293	0.000233779919824116
NC_133194.1	CT	6	6	0.00331223845157637	0.00337609969712037	-6.38612455440006e-05	0.611025007404208	0.803980272900274
NC_133195.1	CA	6	6	0.00741509025070713	0.00752800437016669	-0.000112914119459563	0.668951122013422	0.997702042512215
NC_133195.1	CC	6	6	0.00203771866764271	0.00255894003297042	-0.000521221365327715	1.288745323599e-05	7.65563560210801e-05
NC_133195.1	CT	6	6	0.00354211647871402	0.00370104514318879	-0.00015892866447477	0.105273635836923	0.437574623196207
NC_133196.1	CA	6	6	0.00690724794384213	0.00698010537162566	-7.28574277835334e-05	0.76715437022169	0.997702042512215
NC_133196.1	CC	6	6	0.00189704049134008	0.00243537572403157	-0.000538335232691494	4.66012468571634e-05	9.44935112879258e-05
NC_133196.1	CT	6	6	0.00302511283565622	0.00309299338033591	-6.7880544679687e-05	0.500177281559082	0.781527002436066
NC_133197.1	CA	6	6	0.00748965851484662	0.00768158319569077	-0.000191924680844158	0.546113069724725	0.997702042512215
NC_133197.1	CC	6	6	0.00217447740940045	0.00268735489006753	-0.000512877480667077	0.000353742992760819	0.00040198067359184
NC_133197.1	CT	6	6	0.00369544389267774	0.00369149075531016	3.95313736757837e-06	0.963522057520011	0.963522057520011
NC_133198.1	CA	6	6	0.00714505855472558	0.00730881600967212	-0.000163757454946537	0.573571956500884	0.997702042512215
NC_133198.1	CC	6	6	0.00192663876173068	0.00247591001160901	-0.000549271249878328	0.000151659576613561	0.0002035598543665
NC_133198.1	CT	6	6	0.00314325707087928	0.0031893865636327	-4.61294927534216e-05	0.67391996425767	0.836393873417038
NC_133199.1	CA	6	6	0.00737623137763924	0.00745660366933007	-8.03722916908325e-05	0.746989740885852	0.997702042512215
NC_133199.1	CC	6	6	0.00192339171329505	0.00242005500483567	-0.00049666329154062	6.57602658617545e-05	0.000109600443102924
NC_133199.1	CT	6	6	0.00315533169284093	0.00323567407348469	-8.03423806437515e-05	0.495222344134611	0.781527002436066
NC_133200.1	CA	6	6	0.00785121124125416	0.00807900681520001	-0.000227795573945847	0.411142377231654	0.997702042512215
NC_133200.1	CC	6	6	0.00222978442214444	0.00285279348718343	-0.000623009065038995	4.90538443952897e-06	7.65563560210801e-05
NC_133200.1	CT	6	6	0.00361964446311473	0.00386054267691336	-0.000240898213798634	0.109187677027859	0.437574623196207
