cgi_id	gene_id
cgi10258	569081
cgi10259	569081
cgi1026	100330028
cgi10260	569081
cgi10261	569081
cgi10262	569081
cgi10263	569081
cgi10264	101883493
cgi10265	141380490;569122
cgi10266	569122
cgi10267	569122
cgi10268	569122
cgi10269	137489184
cgi1027	100005033;141379210
cgi10270	137489184;140613
cgi10271	137489184;140613
cgi10272	137489184
cgi10273	565373
cgi10274	406408
cgi10275	393353
cgi10276	103909689;554231
cgi10277	568378
cgi10278	321465
cgi10279	100149310
cgi1028	556955
cgi10280	567408
cgi10281	323462
cgi10282	567227
cgi10283	100007636
cgi10284	541367
cgi10285	100330644
cgi10286	561689;561155
cgi10287	565429;141380500
cgi10288	560807
cgi10289	327200
cgi1029	100330841
cgi10290	100332095
cgi10291	30308
cgi10292	30308
cgi10293	566844
cgi10294	558147
cgi10295	558147
cgi10296	100331456
cgi10297	557675
cgi10299	559439
cgi103	100149472
cgi1030	100330841
cgi10300	141380509
cgi10301	559053
cgi10302	559053
cgi10303	101883649;386630
cgi10304	777737
cgi10305	137489135;100004081
cgi10306	797322
cgi10307	797322
cgi10308	797322
cgi10309	797322
cgi1031	407661
cgi10310	541481;403066
cgi10311	403066
cgi10312	556451
cgi10313	556532
cgi10314	497072
cgi10315	100148748
cgi10316	100001876
cgi10317	100001876
cgi10318	101887148
cgi10319	101887148;572713
cgi1032	407661
cgi10320	101887148;553809
cgi10321	569751
cgi10322	569727
cgi10323	492345
cgi10324	492345
cgi10325	100151323
cgi10326	100151323
cgi10327	100151323;100535931;431744
cgi10328	541552
cgi10329	541552
cgi1033	100536415;100033559
cgi10330	541552
cgi10331	541552;558148
cgi10332	541552;558148
cgi10333	393510
cgi10334	324140;137489137
cgi10335	664689
cgi10336	436699
cgi10337	431720
cgi10338	431720
cgi10339	406837
cgi1034	555425
cgi10340	406837
cgi10341	561285
cgi10342	561285
cgi10343	561285
cgi10344	561285
cgi10345	324316
cgi10346	100002536
cgi10347	563548
cgi10348	449542
cgi1035	100151059;555499;100534673
cgi10350	795761
cgi10351	795761
cgi10352	795761
cgi10353	565671
cgi10354	565671
cgi10355	565671
cgi10356	565671
cgi10357	565671
cgi10358	101886563
cgi10359	101886617
cgi1036	100151059;100534673
cgi10360	101886413;137489143
cgi10361	449559;334465
cgi10362	334465
cgi10363	334465
cgi10364	553333
cgi10365	30606;563150
cgi10366	30606
cgi10367	30606
cgi10368	58059
cgi10369	30403
cgi1037	100151059;100534673
cgi10370	30421;58043
cgi10371	100535473
cgi10372	563396;378453
cgi10373	373124
cgi10374	141380535;141380536;565015
cgi10375	141380535;565015
cgi10376	565109
cgi10377	100003493
cgi10378	100003493
cgi10379	572042
cgi1038	100151059;100534673
cgi10380	100037384
cgi10381	564493
cgi10382	100004137
cgi10383	140746
cgi10384	563847
cgi10385	100332862;141380552
cgi10386	100332862
cgi10387	100003733
cgi10389	101886226
cgi1039	100151059;100331115
cgi10390	568573;796774
cgi10391	568573;796774
cgi10392	568379
cgi10393	568379
cgi10394	568269
cgi10395	568055
cgi10396	449665
cgi10397	793448;571146
cgi10398	335732
cgi10399	336052;137489148
cgi104	100149472
cgi1040	100151059;100331115
cgi10400	336052;141380565
cgi10401	334065
cgi10402	567936
cgi10403	567936
cgi10404	567936
cgi10405	101882936
cgi10406	100150332
cgi10407	100000687
cgi10408	568080
cgi1041	100151059;100331115
cgi10410	100536524
cgi10411	323683
cgi10413	101887009
cgi10414	101887009
cgi10415	562742
cgi10416	562742
cgi10417	562742
cgi10418	562742
cgi10419	562742
cgi1042	100151059;30310
cgi10420	562742
cgi10424	393840
cgi10425	393840
cgi10426	141380572
cgi10427	100136854
cgi10428	445025
cgi10429	792211
cgi1043	100151059;30310
cgi10430	562087
cgi10431	572249
cgi10432	100333270
cgi10433	100333270
cgi10434	406683
cgi10435	100151157
cgi10436	30691
cgi10437	30691
cgi10438	100334514;553775
cgi10439	100334514;562945
cgi1044	100151059;100002225
cgi10440	562945
cgi10441	562945
cgi10442	405879
cgi10443	100334756
cgi10444	100334756
cgi10445	100334756
cgi10446	100536357
cgi10447	777626
cgi10448	777626
cgi10449	100142647
cgi1045	100151059;100332965
cgi10450	64269
cgi10451	100002437
cgi10452	556077
cgi10453	494476
cgi10454	494476
cgi10455	777638
cgi10456	794400
cgi10457	100536790
cgi10458	794389
cgi10459	794389;100332943
cgi1046	100151059;100332965
cgi10460	100332943;101884488
cgi10461	100332943;100330136
cgi10462	100332943;100330136
cgi10463	100332943;100330136
cgi10464	100332943;100333797
cgi10465	100332943;796087
cgi10466	100332943;796087
cgi10467	100332943;796087
cgi10468	100332943;100537620
cgi10469	100332943;796487
cgi1047	100151059;100332965
cgi10470	100332943;796487;795099
cgi10471	100332943;796487;795099
cgi10472	100332943;796487;101883316
cgi10473	100332943;100537554
cgi10474	100332943;100537554
cgi10475	100332943;797544
cgi10476	100537117
cgi10477	100537117
cgi10478	30076
cgi10479	30076
cgi1048	100151059;100332965
cgi10480	195817
cgi10481	101886570
cgi10482	100333199
cgi10483	100333199
cgi10484	100333199
cgi10485	393514;141380580
cgi10486	406561;141380582
cgi10487	403033
cgi10488	403033
cgi10489	403033
cgi1049	100151059
cgi10490	100332549
cgi10491	101883924
cgi10492	555962
cgi10493	337771
cgi10494	101886244
cgi10495	100330797
cgi10496	100330797
cgi10497	100330797
cgi10498	101885820
cgi10499	101885820
cgi105	553319
cgi1050	100151059
cgi10500	101885820
cgi10501	101885820;101885888
cgi10502	101885888
cgi10503	141380585
cgi10504	100329245
cgi10505	100329245
cgi10506	100329307
cgi10507	100329307
cgi10508	101887092
cgi10509	101887092
cgi1051	100151059
cgi10510	101887092
cgi10511	792366
cgi10512	100334698
cgi10513	100334698
cgi10514	556310
cgi10515	101885019;141380798
cgi10516	792513
cgi10517	503750
cgi10518	503750
cgi10519	503750
cgi1052	100151059
cgi10520	503750
cgi10521	141380801;141380800;103909734
cgi10522	141380801;103909734
cgi10523	553595
cgi10524	100334952
cgi10525	100334952
cgi10526	100334952
cgi10527	100334952;541353
cgi10528	541353
cgi10529	108178997
cgi10530	108178997
cgi10531	108178997
cgi10532	108178997
cgi10533	393993;553663
cgi10534	103909733;100005961
cgi10535	103909733;100005961
cgi10536	556734
cgi10537	556734
cgi10538	353246
cgi10539	353246
cgi1054	436818
cgi10540	353246
cgi10541	101882925
cgi10542	101882925;141380802
cgi10543	101882925
cgi10544	101882925
cgi10545	101882925
cgi10546	101882925
cgi10547	793097
cgi10548	100330524
cgi10549	436918;550458
cgi1055	436818
cgi10550	550458
cgi10551	550458
cgi10552	550458
cgi10553	619244;30072
cgi10554	619244;30072
cgi10555	619244;30072
cgi10556	619244
cgi10557	619244;141380807
cgi10558	619244;100037356
cgi10559	100334953
cgi1056	566190;110438154
cgi10560	100334953;541438
cgi10561	558075
cgi10562	558149
cgi10563	558149;137489203
cgi10564	558149
cgi10565	280650
cgi10567	557738
cgi10568	58073
cgi1057	566190
cgi10570	100333455;30096;767673
cgi10571	100333455;767673
cgi10572	100333455;767673
cgi10573	141380811
cgi10574	100036767
cgi10575	137489281
cgi10576	100141362
cgi10577	100141362
cgi10578	570001;108181519
cgi10579	570001;108181520
cgi1058	566190
cgi10580	570001;101886867
cgi10581	570001;141380815
cgi10582	100007104
cgi10583	569030;449822
cgi10584	406289
cgi10589	571372
cgi1059	100150484
cgi10590	571372
cgi10591	571372;141380822
cgi10592	141380822;321756
cgi10593	100537398
cgi10594	562465
cgi10595	563089
cgi10596	563089
cgi10597	100001518
cgi10598	100001518;141380825
cgi10599	30686
cgi106	564232
cgi1060	100151151
cgi10601	565859
cgi10602	103909745
cgi10603	393925;678633
cgi10604	553305;792333
cgi10605	30436
cgi10606	563151;137489222
cgi10607	100147894;553702
cgi10608	100147894;553702
cgi10609	795289
cgi1061	100150696
cgi10611	561295
cgi10612	445186
cgi10613	560346
cgi10614	100003232
cgi10615	100003232;492342
cgi10616	492342
cgi10617	321505
cgi10618	321505
cgi10619	559157
cgi1062	100149117
cgi10620	100333821
cgi10621	393817
cgi10622	557144
cgi10623	322795
cgi10624	556601
cgi10625	100126011
cgi10626	100126011
cgi10627	503868
cgi10628	282554
cgi10629	334628
cgi1063	100332577
cgi10630	100330943
cgi10631	100330943
cgi10632	100330943
cgi10633	100359398
cgi10634	373868
cgi10635	565609
cgi10636	565609
cgi10637	565609
cgi10638	141380677;565736
cgi10639	565736;336568
cgi1064	436819
cgi10640	30721
cgi10641	557735
cgi10642	141380680;100126012
cgi10643	544667
cgi10644	100331291
cgi10645	100331291
cgi10646	568426
cgi10647	797861
cgi10648	568270
cgi10649	568270
cgi1065	436819
cgi10650	368485
cgi10651	555852
cgi10654	556228
cgi10655	137489241
cgi10656	100150056;137489242;323848
cgi10657	564523
cgi10658	30657
cgi10659	30657
cgi1066	100332639
cgi10660	406306;550240
cgi10661	550240
cgi10662	100009657
cgi10663	334191
cgi10664	393930
cgi10667	141380708
cgi10668	494066
cgi10669	492507
cgi1067	407981
cgi10670	100001188
cgi10671	562268;137489247
cgi10672	562268;137489247
cgi10673	334658
cgi10674	561623
cgi10675	100334289
cgi10676	100334289
cgi10677	100334480
cgi10678	100334480
cgi10679	327167
cgi1068	407981
cgi10680	556561;100170835
cgi10681	556561
cgi10682	735250
cgi10683	406464
cgi10684	556959
cgi10685	572492
cgi10686	100332193
cgi10687	563742
cgi10688	30311
cgi10689	791107
cgi1069	101883651
cgi10690	791107
cgi10691	570761
cgi10692	570761;792229
cgi10693	445318
cgi10694	393567
cgi10695	564805
cgi10697	137490644;563182
cgi10698	569075;448867
cgi10699	569075
cgi107	564232
cgi1070	101883651
cgi10700	100333179
cgi10701	100093705
cgi10702	431776
cgi10703	141380735;137489255;100033660
cgi10705	406803
cgi10706	561051
cgi10707	564419
cgi10708	564419;141380746
cgi10709	100151287
cgi1071	100334269
cgi10710	100151287;100535932
cgi10712	100151368
cgi10713	140599
cgi10714	114414
cgi10715	393273
cgi10716	387526
cgi10717	100330501
cgi10718	100330501
cgi10719	100330501
cgi1072	100334269
cgi10720	324332;553511
cgi10721	324332;548340
cgi10722	324332;791223
cgi10723	324332;559467
cgi10724	324332;559467
cgi10725	324332;142985
cgi10726	324332;142985
cgi10727	324332
cgi10728	324332
cgi10729	324332
cgi1073	100334269
cgi10730	324332
cgi10731	324332
cgi10733	494038
cgi10734	406836
cgi10735	337598
cgi10736	141380759;140817
cgi10737	100535045
cgi10738	557679
cgi10739	557679
cgi1074	100334269
cgi10740	794803;141380760;794722
cgi10741	794803;572412
cgi10742	407724
cgi10743	447838
cgi10744	560126;337487
cgi10745	619267
cgi10746	619267
cgi10747	619267
cgi10748	619267
cgi10749	751733
cgi1075	100334269
cgi10750	797104
cgi10751	564371
cgi10752	564371
cgi10753	768247
cgi10754	30622
cgi10755	100334206
cgi10756	403000
cgi10757	403000
cgi10758	559792
cgi10759	110437718
cgi1076	100334269
cgi10760	100887821;321618
cgi10761	406336
cgi10762	406336
cgi10763	406336
cgi10764	406336
cgi10765	541326;394076
cgi10766	777634
cgi10767	494493
cgi10768	137489271;101883138
cgi10769	137489271;101883138
cgi1077	100334269
cgi10770	570508
cgi10771	641469
cgi10772	30185
cgi10773	100535772
cgi10774	100535772;137489278
cgi10775	100330198
cgi10776	100330198
cgi10777	100330198
cgi10778	100536073
cgi10779	100536073
cgi1078	100334269
cgi10780	562530
cgi10781	569146
cgi10782	100334351;436779
cgi10783	436779;557682
cgi10784	557682
cgi10785	557457
cgi10786	796439;415206
cgi10787	324243
cgi10788	556899
cgi10789	556899
cgi1079	100334269
cgi10790	556899
cgi10791	567667
cgi10792	100463518
cgi10793	100463518
cgi10794	100463518
cgi10795	100463518
cgi10796	100463518
cgi10797	100001114
cgi10798	100001114
cgi10799	100001114
cgi108	100331355
cgi1080	100334269
cgi10800	100001114
cgi10801	100329905
cgi10802	100329905
cgi10803	566868
cgi10804	566868
cgi10805	566868
cgi10806	30457
cgi10807	393350
cgi10808	445034
cgi10809	386769
cgi1081	100334269
cgi10810	386769
cgi10811	386769
cgi10812	386769
cgi10813	386769
cgi10814	386769
cgi10815	386769
cgi10816	386769
cgi10817	569971
cgi10818	100003113
cgi10819	100003113
cgi1082	550537
cgi10820	406857
cgi10821	406857
cgi10822	406857
cgi10823	100331321
cgi10824	100331321
cgi10825	100331321
cgi10826	334608;393230
cgi10827	373100
cgi10828	137489732
cgi10829	141380785
cgi1083	101886196
cgi10830	449657
cgi10831	449657
cgi10832	449657
cgi10833	641291
cgi10834	393361
cgi10835	103909792
cgi10836	103909792
cgi10837	103909792
cgi10838	103909792
cgi10839	335119
cgi1084	101886196
cgi10840	335119
cgi10845	447865
cgi10846	447865
cgi10847	402995;100333293
cgi10848	402995;100333293
cgi10849	541327
cgi1085	141379220
cgi10850	100333229;141380843
cgi10851	110438373
cgi10852	110438373
cgi10853	110438373
cgi10854	110438373
cgi10855	110438373;393392
cgi10856	393392
cgi10857	393392
cgi10858	353150
cgi10859	353150
cgi1086	141379220
cgi10860	353150
cgi10861	353150
cgi10862	393466
cgi10863	393466
cgi10864	108181599
cgi10865	100537263
cgi10866	100333154
cgi10867	368249
cgi10868	101886654
cgi10869	141380852
cgi1087	393687
cgi10870	141380852
cgi10871	325677;406763
cgi10872	325677;406763
cgi10873	325677;406763
cgi10874	325677;137489307
cgi10875	325677;790930;137489306
cgi10876	325677;790930;137489306
cgi10877	325677;790930
cgi10878	325677;790930
cgi10879	325677;353294
cgi1088	794129
cgi10880	325677;353294;100538179
cgi10881	325677;100538179
cgi10882	325677;572241
cgi10883	325677;101886651
cgi10884	325677;562199
cgi10885	325677;562199
cgi10886	325677
cgi10887	325677;793767
cgi10888	141380857;101882451
cgi10889	101882451
cgi1089	100526672
cgi10890	793551
cgi10891	100321746
cgi10892	100321746;101883306
cgi10893	570764;567119
cgi10894	570764;567119
cgi10895	571591
cgi10897	768291
cgi10898	100033549
cgi10899	100334806
cgi109	553670
cgi1090	100526672
cgi10900	100334806
cgi10901	30240
cgi10906	100148840
cgi10908	557714
cgi10909	557714
cgi1091	100526672
cgi10910	556702
cgi10911	137489310;368329
cgi10912	796289
cgi10913	141380849
cgi10914	110438406
cgi10915	137489311;563917
cgi10916	557919
cgi10918	100332721
cgi10919	406687;613246
cgi1092	100526672
cgi10920	560608
cgi10921	100037388
cgi10922	550376;323452
cgi10923	553624
cgi10924	553624
cgi10925	322362
cgi10926	322362;137489408
cgi10927	436747
cgi10928	100150048
cgi10929	554137
cgi1093	100526672
cgi10930	100331387;555710
cgi10931	402845
cgi10932	402845
cgi10933	402845
cgi10934	402845
cgi10935	402845
cgi10936	572121
cgi10937	503702
cgi10938	445488
cgi10939	140615;571714;798319
cgi1094	100526672
cgi10940	561429
cgi10942	101887155
cgi10944	571837
cgi10945	563776
cgi10946	503564
cgi10947	562676;562813
cgi10948	100330736
cgi10949	141380881
cgi1095	100526672;327613
cgi10950	100333657
cgi10951	100333657
cgi10952	100333657
cgi10953	100333657
cgi10954	100333657
cgi10955	100333657
cgi10956	100329494
cgi10957	100000135
cgi10958	561496
cgi10959	100000165
cgi1096	327613
cgi10960	100000165
cgi10961	492478
cgi10962	492478
cgi10963	563090
cgi10964	100526653
cgi10965	560393
cgi10966	101884431
cgi1097	100033552
cgi10973	326908
cgi10974	565111
cgi10975	565111;100004590
cgi10976	566397
cgi10977	566397;141380883
cgi10979	100004136
cgi1098	108180196
cgi10980	565473;141380885
cgi10981	565544
cgi10982	100148835
cgi10983	791176
cgi10984	100334453
cgi10985	100334453
cgi10987	550364
cgi10988	550364;100333987
cgi10989	566591
cgi1099	108180196
cgi10990	566591
cgi10991	541510
cgi10992	541510
cgi10993	541510
cgi10994	141380896
cgi10997	553785
cgi10998	553785
cgi10999	568223
cgi110	553670
cgi1100	108180196
cgi11000	449546
cgi11001	568518
cgi11002	568518
cgi11003	568518
cgi11004	100536841
cgi11005	568668
cgi11006	568668
cgi11008	324089
cgi11009	324089;141380912
cgi1101	100333916
cgi11010	796219
cgi11011	569861
cgi11012	797250
cgi11013	406672
cgi11014	568381
cgi11015	442931
cgi11016	393844
cgi11017	393806
cgi11018	792257
cgi11019	792257
cgi1102	100333916
cgi11020	556379
cgi11021	792588;445066
cgi11022	83774
cgi11023	445124
cgi11024	567595;141380934
cgi11025	567595
cgi11026	557290
cgi11027	141380939
cgi11029	564413
cgi1103	100333916
cgi11030	564413
cgi11031	58029
cgi11033	559430
cgi11034	564976;777745
cgi11035	103909838;30560
cgi11036	799608
cgi11037	799608
cgi11038	799608
cgi11039	503902
cgi1104	100170795
cgi11040	448949
cgi11041	768288;406741
cgi11042	799466
cgi11043	799466
cgi11044	447912;100170813
cgi11045	560466
cgi11046	353314
cgi11047	100150664
cgi11048	406374
cgi11049	797545
cgi11050	797545
cgi11051	550232
cgi11052	562128
cgi11053	795942
cgi11054	795942
cgi11055	569012
cgi11056	564106
cgi11057	795008
cgi11058	795008
cgi11059	100001810
cgi11060	555584
cgi11061	548606
cgi11062	445299;101887059
cgi11063	566115
cgi11064	558558
cgi11065	558558
cgi11066	555190
cgi11067	555190;100001191
cgi11068	100538211
cgi11069	100538211
cgi11070	368397
cgi11071	664687
cgi11072	664687
cgi11074	101883510
cgi11075	553622
cgi11077	565184
cgi11078	100007078
cgi11080	568719
cgi11081	407617
cgi11082	558801
cgi11083	556229
cgi11084	497461
cgi11085	403074
cgi11086	503744
cgi11087	571249
cgi11088	556759
cgi11089	368305
cgi11090	368305
cgi11091	141381009
cgi11092	100009661
cgi11093	100009661
cgi11094	100536289
cgi11095	497538
cgi11096	553659
cgi11097	101886729
cgi11098	101886729
cgi11099	30513
cgi1110	141381073
cgi11100	141381016;101884359
cgi11101	141381016;101884359
cgi11102	565459
cgi11103	565459
cgi11104	565459
cgi11105	565459
cgi11106	565459
cgi11107	494096
cgi11108	141381018;100144551
cgi11109	100144551
cgi1111	553715
cgi11110	100144551
cgi11111	100144551
cgi11112	30157
cgi11113	325724;791190
cgi11114	325724;791190
cgi11115	325724;553619
cgi11116	325724;393908
cgi11117	325724;393908
cgi11118	100333114
cgi11119	100333114
cgi1112	553715
cgi11120	100333114
cgi11122	564951
cgi11123	564951
cgi11124	564951
cgi11125	564951
cgi11126	564951;141381023
cgi11128	30542
cgi1113	402950
cgi11132	394197
cgi11133	559455;100332076
cgi11134	569946;767805
cgi11135	569946
cgi11136	100535415
cgi11137	436931
cgi11138	100170782
cgi11139	492470
cgi1114	101884876
cgi11140	100331323
cgi11141	767670
cgi11142	100048921
cgi11143	541335
cgi11144	541335;141381029
cgi11145	141381029;100333615
cgi11146	100333615
cgi11147	570618
cgi11148	570618
cgi11149	100333562
cgi1115	100006417
cgi11150	573992
cgi11151	573992;103909881
cgi11152	103909881;100004395
cgi11153	100004395;137489379
cgi11154	137489379
cgi11155	100037365;141374966;103909882
cgi11156	141374966;103909882
cgi11157	100126027
cgi11158	100332885
cgi11159	100332668
cgi11160	100334868;100334933
cgi11161	100334868;100334933
cgi11162	100334868;137489377
cgi11163	100334868;137489377;101886781
cgi11164	563177;563569;100004768;100329422
cgi11165	563177;100329422
cgi11166	563177;100124605
cgi11167	563177;100124605;326888
cgi11168	563177;326888;137489378
cgi11169	563177;137489378
cgi1117	110438919
cgi11170	563177
cgi11171	103908674
cgi11172	100005210;559220;100005308
cgi11173	559220;573997
cgi11174	559220;751661;100126106
cgi11175	494492
cgi11176	494492
cgi11177	692250;557312
cgi11178	553392
cgi11179	393339
cgi1118	110438919
cgi11180	393339;553370
cgi11181	100330221
cgi11182	566481
cgi11183	100332028
cgi11184	100332028
cgi11185	246094
cgi11186	445224;557688;100149526
cgi11187	445224;557688;100331892
cgi11188	445224;557688
cgi11189	445224;137489387
cgi1119	110438919
cgi11190	445224;137489387
cgi11191	445224;137489387;100003049;321806
cgi11192	445224;100003049;110438397
cgi11193	100003049;110438397;405792
cgi11194	100003049;110438397;405792
cgi11195	100003049;110438397
cgi11196	100003049
cgi11197	100003049;566869
cgi11198	559395;559470
cgi11199	101882398;794406;101882533
cgi1120	110438919
cgi11200	101882398;794406;101882533
cgi11201	101882533;558274;108179079
cgi11202	101882533;108179079
cgi11203	606720;541350
cgi11204	606720;541350;137489384
cgi11205	606720;137489384
cgi11206	606720;560238
cgi11207	606720;560238
cgi11208	792275;560380
cgi11209	792275;560380;561187
cgi1121	100330660
cgi11210	561187;141381032
cgi11211	561187;141381032
cgi11213	560974;141381031
cgi11214	560974;103909889
cgi11215	560974;103909889;573073
cgi11217	100537332
cgi11219	393887
cgi1122	325287
cgi11220	393887
cgi11221	393887
cgi11222	393887
cgi11223	393887
cgi11224	334390
cgi11225	570430
cgi11226	100329793
cgi11227	141381035;100329955
cgi11228	100329955
cgi11229	100329471
cgi1123	100536140
cgi11230	100329471;101884766
cgi11231	570705
cgi11232	570705
cgi11233	793099
cgi11234	100330319
cgi11235	335836
cgi11236	335836
cgi11237	141381037;141380992;393532
cgi11238	393532;393535
cgi11239	393535
cgi1124	100536140;137490790
cgi11240	406519
cgi11241	692125
cgi11242	100009632
cgi11243	100009632;108182241
cgi11244	100009632;108182241
cgi11245	108182241
cgi11246	108182241
cgi11247	108182241
cgi11248	108182241
cgi11249	100333658
cgi1125	100331338;324587
cgi11250	100333658
cgi11251	101886884
cgi11252	436654;336726
cgi11253	110438430
cgi11254	541449
cgi11255	541449
cgi1126	100331338;324587
cgi1127	100331338;137490269
cgi1128	100331338;393943
cgi1129	100331338;790927
cgi1130	100331338;393260
cgi1131	100331338;100005990
cgi1132	100331338;100005990
cgi1133	100331338;100037309
cgi1134	100331338;100037309
cgi1135	100331338;100037309;407660
cgi1136	100331338;407660
cgi1137	100006932
cgi1138	100149190;100536187
cgi1139	100149190;100536187
cgi114	101885162
cgi1140	101885714
cgi1141	100332986
cgi1142	100331864
cgi1143	100331864
cgi1144	140616;141381082
cgi1145	140616;141381082
cgi1146	140616;141381082
cgi1147	793010
cgi1148	792833
cgi1149	793145
cgi115	114402
cgi1150	100007808
cgi1151	100007808;141381108
cgi1152	569736;436749
cgi1153	569736;100007655
cgi1154	569736;553686
cgi1155	569736;553686
cgi1156	767662
cgi1157	561431
cgi1158	561431
cgi1159	561431
cgi116	393131
cgi1160	561431;141381095
cgi1161	402938
cgi1162	402938
cgi1164	141381107
cgi1165	497580
cgi1166	497580
cgi1167	406249
cgi1168	559987
cgi1169	559987
cgi1171	100535410
cgi1172	100007897
cgi1173	568650
cgi1174	795916
cgi1175	141381111;402906
cgi1176	141381111;445027
cgi1177	141381111;101882579
