cgi_chr	cgi_start	cgi_end	cgi_id	gene_chr	gene_start	gene_end	gene_id	strand
NC_133176.1	3702127	3702339	cgi87	NC_133176.1	3508388	3854229	571904	+
NC_133176.1	3984554	3984795	cgi88	NC_133176.1	3885897	4186220	559454	-
NC_133176.1	4094927	4095155	cgi89	NC_133176.1	3885897	4186220	559454	-
NC_133176.1	4107656	4108140	cgi90	NC_133176.1	3885897	4186220	559454	-
NC_133176.1	5234177	5234383	cgi95	NC_133176.1	5031486	5244555	137495392	+
NC_133176.1	5529682	5529918	cgi96	NC_133176.1	5501099	5571592	141384400	-
NC_133176.1	5529682	5529918	cgi96	NC_133176.1	5529665	5531815	137496058	-
NC_133176.1	5883702	5884210	cgi98	NC_133176.1	5879096	5886335	558743	+
NC_133176.1	6568536	6568976	cgi99	NC_133176.1	6539622	6579495	141384377	-
NC_133176.1	6678083	6678358	cgi100	NC_133176.1	6673262	6679349	335098	+
NC_133176.1	6856464	6856859	cgi101	NC_133176.1	6851160	6858948	406206	-
NC_133176.1	7147740	7148019	cgi102	NC_133176.1	7009015	7150069	405901	-
NC_133176.1	7221772	7221998	cgi103	NC_133176.1	7197116	7490277	100149472	-
NC_133176.1	7433006	7433351	cgi104	NC_133176.1	7197116	7490277	100149472	-
NC_133176.1	7574224	7574524	cgi105	NC_133176.1	7572489	7588204	553319	+
NC_133176.1	7592696	7592913	cgi106	NC_133176.1	7590601	7613680	564232	+
NC_133176.1	7612430	7612765	cgi107	NC_133176.1	7590601	7613680	564232	+
NC_133176.1	7679510	7679849	cgi108	NC_133176.1	7677554	7771134	100331355	+
NC_133176.1	7832066	7832325	cgi109	NC_133176.1	7803541	7901755	553670	-
NC_133176.1	7853900	7854172	cgi110	NC_133176.1	7803541	7901755	553670	-
NC_133176.1	8609503	8609793	cgi114	NC_133176.1	8607359	8867975	101885162	+
NC_133176.1	9054092	9054431	cgi115	NC_133176.1	9054115	9081297	114402	-
NC_133176.1	9094929	9095208	cgi116	NC_133176.1	9081817	9097465	393131	-
NC_133176.1	9263873	9264351	cgi118	NC_133176.1	9194511	9274265	141384503	-
NC_133176.1	9301278	9301723	cgi119	NC_133176.1	9272350	9322833	562363	-
NC_133176.1	9315837	9316188	cgi120	NC_133176.1	9272350	9322833	562363	-
NC_133176.1	9320686	9320908	cgi121	NC_133176.1	9272350	9322833	562363	-
NC_133176.1	9528150	9528361	cgi122	NC_133176.1	9449908	9531306	100148061	-
NC_133176.1	9528928	9529299	cgi123	NC_133176.1	9449908	9531306	100148061	-
NC_133176.1	9567967	9568347	cgi124	NC_133176.1	9536191	9589906	100007379	+
NC_133176.1	9567967	9568347	cgi124	NC_133176.1	9556128	9571172	101882918	-
NC_133176.1	9568907	9569247	cgi125	NC_133176.1	9536191	9589906	100007379	+
NC_133176.1	9568907	9569247	cgi125	NC_133176.1	9556128	9571172	101882918	-
NC_133176.1	9653302	9653516	cgi126	NC_133176.1	9651355	9838298	100007317	+
NC_133176.1	9835600	9836125	cgi127	NC_133176.1	9651355	9838298	100007317	+
NC_133176.1	9860405	9860890	cgi128	NC_133176.1	9848051	9862829	570094	-
NC_133176.1	9940650	9941850	cgi129	NC_133176.1	9938664	9949717	570158	+
NC_133176.1	9942522	9942802	cgi130	NC_133176.1	9938664	9949717	570158	+
NC_133176.1	9961865	9962190	cgi131	NC_133176.1	9952247	9968580	141384601	-
NC_133176.1	9961865	9962190	cgi131	NC_133176.1	9951370	9962573	767710	+
NC_133176.1	10094609	10095429	cgi132	NC_133176.1	10092639	10102642	570314	+
NC_133176.1	10126312	10126684	cgi133	NC_133176.1	10105210	10129351	570453	-
NC_133176.1	10126312	10126684	cgi133	NC_133176.1	10124333	10134837	322387	+
NC_133176.1	10194368	10194895	cgi135	NC_133176.1	10192089	10357913	570493	-
NC_133176.1	10237781	10238042	cgi136	NC_133176.1	10192089	10357913	570493	-
NC_133176.1	10343873	10344113	cgi137	NC_133176.1	10192089	10357913	570493	-
NC_133176.1	10427566	10428486	cgi139	NC_133176.1	10425750	10504816	100006675	+
NC_133176.1	10510441	10510698	cgi140	NC_133176.1	10506246	10530751	567438	+
NC_133176.1	10519557	10519943	cgi141	NC_133176.1	10506246	10530751	567438	+
NC_133176.1	10551327	10551579	cgi142	NC_133176.1	10546198	10553556	573619	-
NC_133176.1	10565687	10566220	cgi143	NC_133176.1	10563571	10566510	567084	+
NC_133176.1	10696208	10696482	cgi144	NC_133176.1	10688622	10698394	566684	-
NC_133176.1	10696208	10696482	cgi144	NC_133176.1	10694284	10712502	553947	+
NC_133176.1	10708369	10708670	cgi145	NC_133176.1	10694284	10712502	553947	+
NC_133176.1	10711212	10711647	cgi146	NC_133176.1	10694284	10712502	553947	+
NC_133176.1	10970097	10970320	cgi147	NC_133176.1	10967546	11119354	100144401	+
NC_133176.1	11351498	11351831	cgi148	NC_133176.1	11349566	11357355	110439781	+
NC_133176.1	11355126	11355388	cgi149	NC_133176.1	11349566	11357355	110439781	+
NC_133176.1	11355126	11355388	cgi149	NC_133176.1	11355335	11369706	394023	+
NC_133176.1	11428474	11428722	cgi150	NC_133176.1	11406437	11438400	558046	+
NC_133176.1	11515584	11516056	cgi151	NC_133176.1	11477856	11518462	553501	+
NC_133176.1	11627766	11627999	cgi152	NC_133176.1	11557214	11646295	795311	+
NC_133176.1	11784805	11785474	cgi153	NC_133176.1	11750047	11856001	192122	+
NC_133176.1	11895549	11896000	cgi154	NC_133176.1	11893985	12033411	557456	-
NC_133176.1	12020446	12021217	cgi155	NC_133176.1	11893985	12033411	557456	-
NC_133176.1	12117037	12117611	cgi156	NC_133176.1	12115310	12136514	64273	+
NC_133176.1	12284030	12284452	cgi157	NC_133176.1	12221230	12474750	83773	-
NC_133176.1	12307395	12307713	cgi158	NC_133176.1	12221230	12474750	83773	-
NC_133176.1	12913130	12913728	cgi159	NC_133176.1	12548208	13002704	555553	-
NC_133176.1	13185664	13186197	cgi160	NC_133176.1	13181039	13189560	101884829	-
NC_133176.1	13259377	13259734	cgi161	NC_133176.1	13190707	13261777	798421	-
NC_133176.1	13421862	13422482	cgi162	NC_133176.1	13407747	13451616	751686	+
NC_133176.1	13493041	13493242	cgi163	NC_133176.1	13471387	13503640	393443	+
NC_133176.1	13493437	13494620	cgi164	NC_133176.1	13471387	13503640	393443	+
NC_133176.1	13496876	13497107	cgi165	NC_133176.1	13471387	13503640	393443	+
NC_133176.1	13678315	13678868	cgi166	NC_133176.1	13662558	13680902	436732	-
NC_133176.1	13714543	13714934	cgi167	NC_133176.1	13693132	13734180	393857	+
NC_133176.1	13737901	13738107	cgi168	NC_133176.1	13733480	13744385	322780	+
NC_133176.1	13747650	13748182	cgi169	NC_133176.1	13745838	13761527	406318	+
NC_133176.1	13760734	13760981	cgi170	NC_133176.1	13745838	13761527	406318	+
NC_133176.1	14157074	14159529	cgi171	NC_133176.1	14154544	14191116	259186	+
NC_133176.1	14186620	14186864	cgi172	NC_133176.1	14154544	14191116	259186	+
NC_133176.1	14665225	14665543	cgi173	NC_133176.1	14656192	14668177	572532	-
NC_133176.1	15347356	15347751	cgi174	NC_133176.1	15324428	15349516	568973	+
NC_133176.1	15363706	15364217	cgi175	NC_133176.1	15353000	15386594	387534	-
NC_133176.1	15413032	15413642	cgi176	NC_133176.1	15411014	15547267	568926	+
NC_133176.1	15619988	15621070	cgi177	NC_133176.1	15549449	15623063	436815	-
NC_133176.1	15671197	15671469	cgi178	NC_133176.1	15643716	15672690	100334568	-
NC_133176.1	15671197	15671469	cgi178	NC_133176.1	15664352	15709673	100002802	+
NC_133176.1	15726944	15727428	cgi179	NC_133176.1	15724965	15750563	553756	+
NC_133176.1	15731744	15732083	cgi180	NC_133176.1	15724965	15750563	553756	+
NC_133176.1	15756241	15757127	cgi181	NC_133176.1	15754011	15758448	567498	+
NC_133176.1	15766923	15767197	cgi182	NC_133176.1	15764903	15788602	450021	+
NC_133176.1	15838680	15838984	cgi183	NC_133176.1	15816148	15840683	553974	-
NC_133176.1	15838680	15838984	cgi183	NC_133176.1	15836911	15848303	386772	+
NC_133176.1	16624548	16624994	cgi185	NC_133176.1	16624343	16692456	568198	+
NC_133176.1	16627921	16628369	cgi186	NC_133176.1	16624343	16692456	568198	+
NC_133176.1	16689547	16689944	cgi187	NC_133176.1	16624343	16692456	568198	+
NC_133176.1	16748083	16748428	cgi188	NC_133176.1	16745998	16774579	564750	+
NC_133176.1	16817581	16817861	cgi189	NC_133176.1	16780765	17019732	567965	-
NC_133176.1	17252943	17253157	cgi190	NC_133176.1	17075498	17584186	100334126	-
NC_133176.1	17943916	17944199	cgi191	NC_133176.1	17942200	17946264	559630	-
NC_133176.1	17946666	17947113	cgi192	NC_133176.1	17944851	18006844	559552	+
NC_133176.1	18059218	18059507	cgi193	NC_133176.1	18033923	18061431	559198	-
NC_133176.1	18059218	18059507	cgi193	NC_133176.1	18057555	18160858	557250	+
NC_133176.1	18917255	18917626	cgi194	NC_133176.1	18915412	19067727	406172	+
NC_133176.1	19047957	19048304	cgi195	NC_133176.1	18915412	19067727	406172	+
NC_133176.1	19056087	19056510	cgi196	NC_133176.1	18915412	19067727	406172	+
NC_133176.1	19135673	19136103	cgi197	NC_133176.1	19134258	19137912	404275	+
NC_133176.1	19137231	19137749	cgi198	NC_133176.1	19134258	19137912	404275	+
NC_133176.1	19394726	19395022	cgi199	NC_133176.1	19285009	19427351	571008	-
NC_133176.1	19980830	19981445	cgi200	NC_133176.1	19798353	20008926	137490653	+
NC_133176.1	19980830	19981445	cgi200	NC_133176.1	19900657	20024082	560697	-
NC_133176.1	20135022	20135317	cgi201	NC_133176.1	20113934	20137173	117603	-
NC_133176.1	20431160	20431380	cgi202	NC_133176.1	20372126	20444938	566820	+
NC_133176.1	20478345	20479064	cgi205	NC_133176.1	20476413	20587572	561940	+
NC_133176.1	20782475	20782923	cgi206	NC_133176.1	20633042	20784934	100073332	-
NC_133176.1	20873584	20873830	cgi207	NC_133176.1	20860383	20912005	562991	-
NC_133176.1	20876283	20876570	cgi208	NC_133176.1	20860383	20912005	562991	-
NC_133176.1	20941099	20941565	cgi209	NC_133176.1	20926063	20941544	562854	-
NC_133176.1	20941099	20941565	cgi209	NC_133176.1	20939136	20970011	352927	+
NC_133176.1	21016177	21016638	cgi210	NC_133176.1	21014116	21019093	795807	+
NC_133176.1	21244984	21245253	cgi211	NC_133176.1	21208673	21260106	797069	+
NC_133176.1	21267384	21267976	cgi212	NC_133176.1	21261933	21268602	553647	-
NC_133176.1	21267384	21267976	cgi212	NC_133176.1	21265493	21305823	797213	+
NC_133176.1	21574417	21574889	cgi213	NC_133176.1	21568576	21575220	404603	-
NC_133176.1	21574417	21574889	cgi213	NC_133176.1	21572144	21649784	566809	+
NC_133176.1	21784524	21784945	cgi214	NC_133176.1	21654192	22067562	100317129	-
NC_133176.1	22105936	22106434	cgi215	NC_133176.1	22068422	22238975	553508	-
NC_133176.1	22336957	22337256	cgi216	NC_133176.1	22245698	22339503	474335	-
NC_133176.1	22422444	22422858	cgi217	NC_133176.1	22378405	22424823	407979	-
NC_133176.1	22766635	22766919	cgi218	NC_133176.1	22700555	22768836	793952	-
NC_133176.1	22859803	22860055	cgi219	NC_133176.1	22802921	22861956	793668	-
NC_133176.1	22979529	22979957	cgi220	NC_133176.1	22893913	22981810	170450	-
NC_133176.1	22979529	22979957	cgi220	NC_133176.1	22979822	22984518	137490005	+
NC_133176.1	23053212	23053667	cgi221	NC_133176.1	22992924	23063556	83412	-
NC_133176.1	23300550	23300829	cgi222	NC_133176.1	23294190	23393244	60636	+
NC_133176.1	23980551	23980802	cgi223	NC_133176.1	23956367	24009430	794401	-
NC_133176.1	24080638	24080854	cgi224	NC_133176.1	24053212	24082809	555747	-
NC_133176.1	24080638	24080854	cgi224	NC_133176.1	24077900	24087458	137490659	+
NC_133176.1	24125353	24125559	cgi225	NC_133176.1	24113331	24165404	100003503	-
NC_133176.1	24233601	24233829	cgi226	NC_133176.1	24229319	24259710	325119	-
NC_133176.1	24260738	24261154	cgi227	NC_133176.1	24259776	24263559	101886353	-
NC_133176.1	24339913	24340454	cgi228	NC_133176.1	24296016	24342373	378834	-
NC_133176.1	24417743	24417998	cgi229	NC_133176.1	24388263	24420007	30578	-
NC_133176.1	24529590	24529791	cgi230	NC_133176.1	24527422	24732704	560631	-
NC_133176.1	24729898	24730659	cgi231	NC_133176.1	24527422	24732704	560631	-
NC_133176.1	24735422	24735744	cgi232	NC_133176.1	24731521	24737665	141385568	-
NC_133176.1	24735422	24735744	cgi232	NC_133176.1	24732408	24816168	560912	+
NC_133176.1	25122432	25122899	cgi233	NC_133176.1	25072731	25124788	557812	-
NC_133176.1	25122432	25122899	cgi233	NC_133176.1	25122320	25137767	492707	+
NC_133176.1	25160131	25160549	cgi234	NC_133176.1	25137755	25162475	558430	-
NC_133176.1	25357902	25358391	cgi235	NC_133176.1	25337372	25359432	110439261	-
NC_133176.1	25357902	25358391	cgi235	NC_133176.1	25355529	25489381	80353	+
NC_133176.1	25693106	25694057	cgi236	NC_133176.1	25537691	25970855	562379	-
NC_133176.1	25693106	25694057	cgi236	NC_133176.1	25690815	25694629	117234	+
NC_133176.1	25968504	25968843	cgi237	NC_133176.1	25537691	25970855	562379	-
NC_133176.1	25992618	25992822	cgi238	NC_133176.1	25988832	25998297	141385604	-
NC_133176.1	26152557	26153127	cgi239	NC_133176.1	26117974	26154455	541317	-
NC_133176.1	26152557	26153127	cgi239	NC_133176.1	26150601	26153938	393744	+
NC_133176.1	26538081	26538713	cgi240	NC_133176.1	26477780	26766154	564991	-
NC_133176.1	26645500	26646019	cgi241	NC_133176.1	26477780	26766154	564991	-
NC_133176.1	27261730	27261934	cgi242	NC_133176.1	27247683	27265417	100004402	+
NC_133176.1	27296521	27296742	cgi243	NC_133176.1	27294203	27297438	553239	+
NC_133176.1	28662614	28662832	cgi244	NC_133176.1	28660512	28853750	559327	+
NC_133176.1	29353519	29353757	cgi246	NC_133176.1	29341279	29365489	141385733	-
NC_133176.1	30215721	30216032	cgi247	NC_133176.1	30124197	30217877	100000190	-
NC_133176.1	32881345	32881922	cgi248	NC_133176.1	32879257	32991445	100149983	+
NC_133176.1	33367738	33367947	cgi250	NC_133176.1	33346093	33420674	100000935	+
NC_133176.1	33367738	33367947	cgi250	NC_133176.1	33353221	33386447	560041	+
NC_133176.1	33446821	33447764	cgi251	NC_133176.1	33444601	33449405	570746	+
NC_133176.1	33627488	33627761	cgi252	NC_133176.1	33543331	33630026	100000640	-
NC_133176.1	33629016	33629240	cgi253	NC_133176.1	33543331	33630026	100000640	-
NC_133176.1	33955007	33955357	cgi254	NC_133176.1	33932193	33957310	100000151	-
NC_133176.1	34288704	34289258	cgi255	NC_133176.1	34187478	34292557	692255	-
NC_133176.1	34931834	34932697	cgi256	NC_133176.1	34734241	34934576	568646	-
NC_133176.1	35107560	35107763	cgi257	NC_133176.1	35076761	35820674	141385860	-
NC_133176.1	35107560	35107763	cgi257	NC_133176.1	35107001	35110971	793810	-
NC_133176.1	35315392	35317162	cgi258	NC_133176.1	35076761	35820674	141385860	-
NC_133176.1	35315392	35317162	cgi258	NC_133176.1	35313510	35370156	565702	+
NC_133176.1	35435546	35436470	cgi259	NC_133176.1	35076761	35820674	141385860	-
NC_133176.1	35435546	35436470	cgi259	NC_133176.1	35433561	35438811	30230	+
NC_133176.1	35514060	35514437	cgi260	NC_133176.1	35076761	35820674	141385860	-
NC_133176.1	35514060	35514437	cgi260	NC_133176.1	35512193	35552764	30630	+
NC_133176.1	36224234	36224576	cgi261	NC_133176.1	36051592	36226379	561122	+
NC_133176.1	36901352	36901563	cgi262	NC_133176.1	36899515	37003237	100318301	+
NC_133176.1	37071364	37071760	cgi263	NC_133176.1	37060983	37073575	573207	-
NC_133176.1	37071364	37071760	cgi263	NC_133176.1	37070293	37083756	405840	+
NC_133176.1	37501833	37502243	cgi264	NC_133176.1	37499748	37785185	100005538	+
NC_133176.1	37614411	37614622	cgi265	NC_133176.1	37499748	37785185	100005538	+
NC_133176.1	37814024	37814246	cgi266	NC_133176.1	37806971	37827420	100005589	+
NC_133176.1	37859128	37859938	cgi267	NC_133176.1	37857093	37860570	553403	+
NC_133176.1	38161125	38161429	cgi268	NC_133176.1	38099825	38309489	141386116	-
NC_133176.1	38161125	38161429	cgi268	NC_133176.1	38146107	38163355	100006043	-
NC_133176.1	39172797	39173420	cgi269	NC_133176.1	39151947	39240820	141386123	+
NC_133176.1	39172797	39173420	cgi269	NC_133176.1	39169248	39304145	565077	-
NC_133176.1	39239363	39239658	cgi270	NC_133176.1	39151947	39240820	141386123	+
NC_133176.1	39239363	39239658	cgi270	NC_133176.1	39169248	39304145	565077	-
NC_133176.1	39300796	39301873	cgi271	NC_133176.1	39169248	39304145	565077	-
NC_133176.1	39573192	39574115	cgi273	NC_133176.1	39570355	39574153	402816	+
NC_133176.1	40205339	40205541	cgi274	NC_133176.1	40048211	40207499	562171	-
NC_133176.1	40309095	40309416	cgi275	NC_133176.1	40306709	40403281	572548	+
NC_133176.1	40407394	40407653	cgi276	NC_133176.1	40405312	40458690	564207	+
NC_133176.1	41478380	41478659	cgi277	NC_133176.1	41282607	41492040	767769	+
NC_133176.1	41478380	41478659	cgi277	NC_133176.1	41461724	41480698	678549	-
NC_133176.1	41532653	41532933	cgi278	NC_133176.1	41516285	41534727	565975	-
NC_133176.1	41639549	41639858	cgi279	NC_133176.1	41533859	41641846	192124	-
NC_133176.1	42492654	42493214	cgi280	NC_133176.1	42461202	42885104	30155	+
NC_133176.1	42492654	42493214	cgi280	NC_133176.1	42485555	42496254	141386130	-
NC_133176.1	42587600	42587913	cgi281	NC_133176.1	42461202	42885104	30155	+
NC_133176.1	43013574	43013781	cgi282	NC_133176.1	42998544	43092724	794006	+
NC_133176.1	43013574	43013781	cgi282	NC_133176.1	43003936	43080419	571741	-
NC_133176.1	43077354	43078496	cgi283	NC_133176.1	42998544	43092724	794006	+
NC_133176.1	43077354	43078496	cgi283	NC_133176.1	43003936	43080419	571741	-
NC_133176.1	43161656	43162165	cgi284	NC_133176.1	43155683	43189671	100537580	-
NC_133176.1	43187557	43187777	cgi285	NC_133176.1	43155683	43189671	100537580	-
NC_133176.1	43232796	43233655	cgi286	NC_133176.1	43217259	43235530	555616	-
NC_133176.1	43232796	43233655	cgi286	NC_133176.1	43232787	43238876	137495637	+
NC_133176.1	43438003	43438327	cgi287	NC_133176.1	43435047	43623031	101886283	-
NC_133176.1	43474407	43474628	cgi288	NC_133176.1	43435047	43623031	101886283	-
NC_133176.1	43620109	43621195	cgi289	NC_133176.1	43435047	43623031	101886283	-
NC_133176.1	43745881	43746111	cgi290	NC_133176.1	43743808	43821029	797949	+
NC_133176.1	43832333	43832669	cgi291	NC_133176.1	43829642	43848862	445108	+
NC_133176.1	43884062	43884512	cgi292	NC_133176.1	43848191	43886654	557394	+
NC_133176.1	43999920	44000261	cgi294	NC_133176.1	43999147	44002675	751654	-
NC_133176.1	44000567	44000788	cgi295	NC_133176.1	43999147	44002675	751654	-
NC_133176.1	44002490	44002892	cgi296	NC_133176.1	43999147	44002675	751654	-
NC_133176.1	44002490	44002892	cgi296	NC_133176.1	44002391	44005825	797503	-
NC_133176.1	44003581	44004288	cgi297	NC_133176.1	44002391	44005825	797503	-
NC_133176.1	44083070	44083294	cgi298	NC_133176.1	44054655	44086319	137490027	-
NC_133176.1	44083070	44083294	cgi298	NC_133176.1	44082688	44085987	266752	-
NC_133176.1	44084099	44084361	cgi299	NC_133176.1	44054655	44086319	137490027	-
NC_133176.1	44084099	44084361	cgi299	NC_133176.1	44082688	44085987	266752	-
NC_133176.1	44445122	44445401	cgi300	NC_133176.1	44384181	44466648	30214	-
NC_133176.1	44588677	44589145	cgi301	NC_133176.1	44586469	44621141	100037355	+
NC_133176.1	44866068	44866367	cgi302	NC_133176.1	44853742	44868607	797711	+
NC_133176.1	44866849	44867234	cgi303	NC_133176.1	44853742	44868607	797711	+
NC_133176.1	44902265	44902684	cgi304	NC_133176.1	44888732	44991007	567804	+
NC_133176.1	44926102	44926397	cgi305	NC_133176.1	44888732	44991007	567804	+
NC_133176.1	44966293	44966507	cgi306	NC_133176.1	44888732	44991007	567804	+
NC_133176.1	45479110	45479485	cgi307	NC_133176.1	45477414	46293975	567500	+
NC_133176.1	45815699	45815983	cgi308	NC_133176.1	45477414	46293975	567500	+
NC_133176.1	46896387	46896668	cgi309	NC_133176.1	46626884	46907228	141386142	-
NC_133176.1	47120743	47121384	cgi310	NC_133176.1	47060394	47123153	555482	-
NC_133176.1	47279585	47279822	cgi311	NC_133176.1	47270187	47285782	799721	-
NC_133176.1	47295587	47296064	cgi312	NC_133176.1	47281859	47295602	141386172	+
NC_133176.1	47295587	47296064	cgi312	NC_133176.1	47290060	47298216	101883524	-
NC_133176.1	47307140	47307409	cgi313	NC_133176.1	47298929	47309774	565042	-
NC_133176.1	47648820	47649153	cgi314	NC_133176.1	47646943	47653510	436951	+
NC_133176.1	47750067	47750539	cgi315	NC_133176.1	47748391	47752863	403307	+
NC_133176.1	47751998	47752377	cgi316	NC_133176.1	47748391	47752863	403307	+
NC_133176.1	47818390	47819107	cgi317	NC_133176.1	47780834	47825742	571795	+
NC_133176.1	47963746	47964286	cgi318	NC_133176.1	47911479	47965880	562640	-
NC_133176.1	48060276	48060905	cgi319	NC_133176.1	48058183	48062346	100001485	+
