chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	delta	direction	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133189.1	35591319	35591905	0.84550865	12.40697675	258	cgi6546	0.554932511	28.02777778	31	0.290576139	Hyper in FB	378450	hs6st2	heparan sulfate 6-O-sulfotransferase 2
NC_133182.1	26329652	26330000	0.151947445	14.67333333	150	cgi3377	0.441390819	77.22123016	54	-0.289443374	Hypo in FB	378987	zgc:77439	zgc:77439
NC_133186.1	31042505	31042876	0.16538847	18.07407408	216	cgi5271	0.443585727	33.83333334	41	-0.278197257	Hypo in FB	569872	igsf21a	"immunoglobin superfamily, member 21a"
NC_133187.1	135453	137162	0.338758963	17.27568915	1035	cgi5455	0.61624906	99.30757332	244	-0.277490097	Hypo in FB	100331510	LOC100331510	"solute carrier family 2, facilitated glucose transporter member 11"
NC_133196.1	627531	627789	0.735594858	18.36419753	162	cgi9371	0.458504665	50.03571429	28	0.277090193	Hyper in FB	335057	znf462	zinc finger protein 462
NC_133182.1	57879947	57880436	0.970588776	10.44516386	214	cgi3561	0.69537085	139.1785714	28	0.275217926	Hyper in FB	560364;100006612	adamts7;myo9aa	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7;myosin IXAa"
NC_133188.1	9743864	9744106	0.471350125	17.15	120	cgi5927	0.744157976	49.41161616	42	-0.272807852	Hypo in FB	141377133;335380	LOC141377133;neff2	uncharacterized LOC141377133;neuronal intermediate filament family member 2
NC_133184.1	12158533	12158783	0.415747978	10.99354447	128	cgi4305	0.688314226	99.47916668	48	-0.272566249	Hypo in FB	565294	znf804a	zinc finger protein 804A
NC_133189.1	108974	109276	0.858932153	20.45997537	173	cgi6250	0.587983782	112.6111111	36	0.270948371	Hyper in FB	100009630	zbtb49	zinc finger and BTB domain containing 49
NC_133186.1	41530496	41530795	0.284733437	15.4048718	155	cgi5339	0.015543129	65.12115385	47	0.269190308	Hyper in FB	553321	p3h1	prolyl 3-hydroxylase 1
NC_133192.1	10722732	10722992	0.539678086	12.70079365	125	cgi7672	0.808201095	36.46428572	28	-0.268523008	Hypo in FB	570491	npas3	neuronal PAS domain protein 3
NC_133200.1	39216962	39217439	0.677296452	10.49561404	210	cgi11216	0.409792438	103.4375	48	0.267504015	Hyper in FB	no_gene	no_gene	no_gene
NC_133184.1	2856599	2856870	0.679130662	20.43181818	132	cgi4261	0.945988321	95.625	32	-0.266857659	Hypo in FB	141376046	LOC141376046	uncharacterized LOC141376046
NC_133184.1	36399184	36399438	0.236911226	12.31455863	137	cgi4435	0.497589306	91.91666666	24	-0.26067808	Hypo in FB	no_gene	no_gene	no_gene
NC_133195.1	39110756	39110999	0.641995721	10.97592592	105	cgi9120	0.381677143	97.33333333	24	0.260318578	Hyper in FB	564874	tnfrsf21	"tumor necrosis factor receptor superfamily, member 21"
NC_133186.1	24007209	24007466	0.385614646	11.88293651	125	cgi5237	0.644601233	41.25	32	-0.258986587	Hypo in FB	557245;141376599	foxp4;LOC141376599	forkhead box P4;uncharacterized LOC141376599
NC_133191.1	41039214	41039544	0.769195185	10.72386128	163	cgi7378	0.511681077	72.92857143	28	0.257514108	Hyper in FB	no_gene	no_gene	no_gene
NC_133185.1	441688	442473	0.689935266	10.43993322	358	cgi4676	0.945947661	22.4047619	78	-0.256012395	Hypo in FB	569498	kcnj6	potassium inwardly rectifying channel subfamily J member 6
NC_133193.1	19427746	19428327	0.214761961	13.34307568	265	cgi8175	0.467485119	16.5	32	-0.252723158	Hypo in FB	492735	si:ch211-212o1.2	si:ch211-212o1.2
NC_133178.1	23649052	23649380	0.588661587	14.72666667	150	cgi1368	0.337020023	122.6130952	81	0.251641564	Hyper in FB	100535636	LOC100535636	protein shisa-9
NC_133187.1	51664083	51664333	0.052410565	35.32615385	154	cgi5816	0.303174716	62.50808825	71	-0.250764151	Hypo in FB	103171573	chatb	choline O-acetyltransferase b
NC_133183.1	335480	335738	0.915405219	22.675	120	cgi3734	0.665871502	120.3333333	24	0.249533717	Hyper in FB	100333625	dmxl1	Dmx like 1
NC_133182.1	51186652	51186866	0.827021666	12.65625	96	cgi3531	0.578179896	73.26470588	68	0.24884177	Hyper in FB	100149571	brsk2b	BR serine/threonine kinase 2b
NC_133189.1	1355658	1356166	0.165537808	11.21151717	253	cgi6304	0.413756247	55.17042004	88	-0.24821844	Hypo in FB	100333296	si:ch1073-303k11.2	si:ch1073-303k11.2
NC_133195.1	29494613	29494987	0.533311303	15.27586207	174	cgi9063	0.780944454	25.38214286	28	-0.247633151	Hypo in FB	393461	gmds	"GDP-mannose 4,6-dehydratase"
NC_133184.1	25783285	25783501	0.662030187	13.20833333	144	cgi4366	0.908936854	64.875	40	-0.246906667	Hypo in FB	141376129;100150269	LOC141376129;hecw2a	"uncharacterized LOC141376129;HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2a"
NC_133192.1	10782555	10782770	0.510733219	11.9622807	100	cgi7674	0.755769735	143.325	80	-0.245036516	Hypo in FB	570491	npas3	neuronal PAS domain protein 3
NC_133191.1	59618757	59619189	0.0329622	16.75	228	cgi7533	0.27784144	24.775	40	-0.24487924	Hypo in FB	101884083	rgs22	regulator of G protein signaling 22
NC_133177.1	61552223	61552547	0.616010271	10.0116843	167	cgi1048	0.372072318	140.828125	64	0.243937953	Hyper in FB	100151059;100332965	lingo3b;onecut3b	leucine rich repeat and Ig domain containing 3b;one cut homeobox 3b
NC_133181.1	40037561	40038075	0.301095401	12.88596491	228	cgi2920	0.057454092	48.26666667	30	0.243641309	Hyper in FB	322209	jade3	jade family PHD finger 3
NC_133184.1	31502365	31502646	0.46971271	12.74603175	126	cgi4403	0.710942274	42.04829546	59	-0.241229563	Hypo in FB	568868	il1rapl1a	interleukin 1 receptor accessory protein-like 1a
NC_133192.1	19934388	19934699	0.57720391	13.44555556	149	cgi7733	0.814805441	99.24431818	38	-0.237601531	Hypo in FB	no_gene	no_gene	no_gene
NC_133186.1	3975486	3975768	0.419316828	16.52173913	138	cgi5125	0.653666171	14.18181818	41	-0.234349343	Hypo in FB	565366	pbrm1	polybromo 1
NC_133189.1	3019328	3019576	0.587656476	15.65873016	126	cgi6392	0.816502603	10.4	31	-0.228846127	Hypo in FB	137487557;359829;141377664	LOC137487557;fgf18a;LOC141377664	uncharacterized LOC137487557;fibroblast growth factor 18a;uncharacterized LOC141377664
NC_133179.1	13307832	13308120	0.629806025	10.78502415	136	cgi1813	0.85788398	173.525	40	-0.228077955	Hypo in FB	no_gene	no_gene	no_gene
NC_133185.1	4306039	4306333	0.552667045	10.14166667	120	cgi4752	0.777947346	21.36111111	32	-0.225280301	Hypo in FB	100331958	ttc28	tetratricopeptide repeat domain 28
NC_133190.1	26107107	26107386	0.3994694	11.94871795	156	cgi6897	0.624521662	115.825	80	-0.225052262	Hypo in FB	571279	mark4b	MAP/microtubule affinity-regulating kinase 4b
NC_133176.1	51999330	51999594	0.377246381	10.13865546	122	cgi351	0.599579806	57.13888889	36	-0.222333425	Hypo in FB	557882;100332340	gsk3bb;sorcs1	"glycogen synthase kinase 3 beta, genome duplicate b;sortilin-related VPS10 domain containing receptor 1"
NC_133180.1	11892808	11893039	0.719659004	16.47101449	138	cgi2183	0.940323517	78.62499999	24	-0.220664513	Hypo in FB	141385758	LOC141385758	uncharacterized LOC141385758
NC_133193.1	54169904	54170220	0.886506701	13.55050505	196	cgi8364	0.666166004	17.1004902	47	0.220340697	Hyper in FB	436620	tspan4a	tetraspanin 4a
NC_133177.1	62606021	62606381	0.718167574	12.97312999	197	cgi1069	0.938360135	111.9821429	56	-0.220192561	Hypo in FB	101883651	tmem200cb	"transmembrane protein 200C, genome duplicate b"
NC_133186.1	46345460	46345834	0.661219452	10.92980296	172	cgi5392	0.441051805	16.23809524	21	0.220167646	Hyper in FB	569678;548610	tmem63bb;gli2b	transmembrane protein 63Bb;GLI family zinc finger 2b
NC_133184.1	58796965	58797188	0.127863602	22.4122807	114	cgi4565	0.347799267	92.6875	32	-0.219935665	Hypo in FB	no_gene	no_gene	no_gene
NC_133181.1	5039506	5039723	0.606142295	10.05555556	105	cgi2775	0.386927211	101.5343137	58	0.219215084	Hyper in FB	100332617	nbeal1	neurobeachin-like 1
NC_133181.1	27286478	27286698	0.105927961	10.02	100	cgi2876	0.324800682	147.175	40	-0.218872721	Hypo in FB	137490211;100001699	LOC137490211;barhl2	uncharacterized LOC137490211;BarH-like homeobox 2
NC_133177.1	3766465	3766975	0.000984184	15.7688172	372	cgi688	0.219856409	21.98358586	72	-0.218872225	Hypo in FB	141377726;403002	LOC141377726;c1ql3b	"uncharacterized LOC141377726;complement component 1, q subcomponent-like 3b"
NC_133184.1	57698043	57698748	0.914054732	14.11507937	293	cgi4546	0.695321937	17.6632353	43	0.218732795	Hyper in FB	100147967	nlgn4xb	neuroligin 4 X-linked b
NC_133196.1	31993403	31994058	0.652963398	11.30697675	214	cgi9616	0.434466192	83.67794118	71	0.218497206	Hyper in FB	557911	cxxc5a	CXXC finger protein 5a
NC_133186.1	32455264	32455653	0.623528394	14.66111111	180	cgi5277	0.84159531	48.84027778	21	-0.218066916	Hypo in FB	559341	cdkl5	cyclin dependent kinase like 5
NC_133194.1	8876871	8877411	0.78824187	15.01680543	281	cgi8615	0.571497596	130.581746	52	0.216744275	Hyper in FB	100006039	znf687b	zinc finger protein 687b
NC_133198.1	643950	644685	0.862886249	10.46171737	311	cgi10147	0.647275568	94.53571429	28	0.215610681	Hyper in FB	100000132	kcnk15	"potassium channel, subfamily K, member 15"
NC_133198.1	26376040	26376416	0.385437181	19.71333333	150	cgi10272	0.595866365	24.33333333	36	-0.210429183	Hypo in FB	137489184	LOC137489184	uncharacterized LOC137489184
NC_133179.1	3129150	3129555	0.732926249	10.42857143	168	cgi1716	0.943155604	32.7	20	-0.210229354	Hypo in FB	567051	pde3a	"phosphodiesterase 3A, cGMP-inhibited"
NC_133187.1	16643204	16643572	0.668774739	15.871337	166	cgi5593	0.878464553	67.90879773	79	-0.209689814	Hypo in FB	571519	med1	mediator complex subunit 1
NC_133185.1	50648592	50648906	0.832541024	13.18686869	157	cgi5054	0.629540735	44.225	40	0.203000289	Hyper in FB	141376486;569999	LOC141376486;569999	uncharacterized LOC141376486;small nuclear ribonucleoprotein 35 (U11/U12)
NC_133200.1	2989900	2990297	0.544990453	10.22234537	176	cgi10912	0.342612476	62.45238095	84	0.202377977	Hyper in FB	796289	kcnq1.2	"potassium voltage-gated channel, KQT-like subfamily, member 1.2"
NC_133193.1	53974462	53974795	0.73636508	14.25861111	149	cgi8339	0.935280521	37	32	-0.198915441	Hypo in FB	445561	cttn	cortactin
NC_133185.1	4225079	4225332	0.37491912	10.69553377	106	cgi4746	0.572623462	34.72727273	44	-0.197704342	Hypo in FB	100331958	ttc28	tetratricopeptide repeat domain 28
NC_133186.1	22119609	22119825	0.349839483	19.47368421	114	cgi5230	0.54743361	30.78571429	28	-0.197594127	Hypo in FB	100333933;100148013	cadpsa;si:dkey-274m17.3	Ca2+-dependent activator protein for secretion a;si:dkey-274m17.3
NC_133195.1	558773	559114	0.509305222	11.3486715	139	cgi8882	0.705843002	23.66071429	56	-0.19653778	Hypo in FB	568713	dse	dermatan sulfate epimerase
NC_133185.1	44612899	44613121	0.635466331	15.47621832	117	cgi4997	0.831871556	94.62500001	24	-0.196405225	Hypo in FB	571887	kirrel3a	kirre like nephrin family adhesion molecule 3a
NC_133191.1	51235973	51236732	0.452150751	16.23148148	324	cgi7436	0.64813959	82.96428572	28	-0.19598884	Hypo in FB	386994;100332760	rab11al;mex3a	"RAB11a, member RAS oncogene family, like;mex-3 RNA binding family member A"
NC_133183.1	21543762	21544148	0.018228225	12.30666667	147	cgi3915	0.211886754	22.69444445	39	-0.193658529	Hypo in FB	30525	foxd2	forkhead box D2
NC_133198.1	46564116	46564373	0.1171951	14.98550725	138	cgi10419	0.310458151	29.625	64	-0.193263051	Hypo in FB	562742	dlgap4a	"discs, large (Drosophila) homolog-associated protein 4a"
NC_133184.1	56092198	56094589	0.325802209	20.03267792	1168	cgi4530	0.132773921	80.06169949	159	0.193028288	Hyper in FB	100002026	si:ch211-199f5.1	si:ch211-199f5.1
NC_133181.1	61686668	61686994	0.718638763	19.06521739	138	cgi3055	0.5260213	90.81666667	38	0.192617464	Hyper in FB	561863	mbd6	methyl-CpG binding domain protein 6
NC_133192.1	58615979	58616355	0.667707694	14.95665717	158	cgi7962	0.860273055	18.96666667	34	-0.192565361	Hypo in FB	100003863	prox2	prospero homeobox 2
NC_133180.1	22822128	22822370	0.710035285	15.51525055	107	cgi2246	0.901777873	54.45833334	24	-0.191742588	Hypo in FB	100002370	zc3h12b	zinc finger CCCH-type containing 12B
NC_133184.1	53008849	53009105	0.784158987	10.82496393	127	cgi4510	0.592690926	91.15625	32	0.191468061	Hyper in FB	101883600	LOC101883600	potassium voltage-gated channel subfamily H member 7
NC_133199.1	38297822	38298271	0.068592726	11.92148155	260	cgi10726	0.258802081	71.196875	121	-0.190209356	Hypo in FB	324332;142985	agap3;gbx1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3;gastrulation brain homeobox 1"
NC_133188.1	30330424	30330650	0.435346079	10.88991013	105	cgi6028	0.245565447	83.9375	32	0.189780632	Hyper in FB	557196	slc24a3	solute carrier family 24 member 3
NC_133200.1	5227543	5227818	0.588494945	10.35	72	cgi10942	0.778191583	78.45833334	24	-0.189696638	Hypo in FB	101887155	pnpla2	patatin-like phospholipase domain containing 2
NC_133184.1	29251954	29252188	0.698491419	13.08762255	101	cgi4380	0.887484751	125.3	20	-0.188993332	Hypo in FB	567605	stxbp5l	syntaxin binding protein 5L
NC_133194.1	50347093	50347306	0.683066072	15.77339181	113	cgi8824	0.494169568	56.5	28	0.188896505	Hyper in FB	497281	ext1c	exostoses (multiple) 1c
NC_133178.1	16724728	16724929	0.654437236	12.20206972	107	cgi1292	0.466171802	103.95	20	0.188265434	Hyper in FB	325896	cnp	"2'',3''-cyclic nucleotide 3'' phosphodiesterase"
NC_133188.1	47208191	47208470	0.361257242	11.22222222	126	cgi6148	0.173981799	36.60714286	28	0.187275443	Hyper in FB	100003558	ablim1a	actin binding LIM protein 1a
NC_133183.1	62277018	62277702	0.538171759	15.44741321	414	cgi4133	0.725031944	85.56666668	24	-0.186860185	Hypo in FB	406459	ppp1r3c2b	"protein phosphatase 1 regulatory subunit 3C2, duplicate b"
NC_133179.1	19866300	19866822	0.18568361	14.59401709	234	cgi1861	0.372273931	39.85714286	28	-0.186590321	Hypo in FB	no_gene	no_gene	no_gene
NC_133180.1	20278361	20278607	0.444126654	10.84205408	135	cgi2226	0.258012821	16.375	20	0.186113833	Hyper in FB	793922	fam222aa	family with sequence similarity 222 member Aa
NC_133180.1	78186377	78186673	0.770526189	14.98148148	162	cgi2527	0.95660049	79.55172414	116	-0.186074301	Hypo in FB	30455	lhx3	LIM homeobox 3
NC_133196.1	40257254	40258091	0.201918207	10.33516496	321	cgi9644	0.015844168	92.02083334	96	0.186074039	Hyper in FB	560654	arl10	ADP-ribosylation factor-like 10
NC_133193.1	19219641	19220035	0.64200805	16.75200085	176	cgi8171	0.456172404	35.75	36	0.185835646	Hyper in FB	566696	znf423	zinc finger protein 423
NC_133193.1	1814688	1814987	0.705789485	11.69333333	150	cgi8066	0.52039502	116.4222874	97	0.185394465	Hyper in FB	403006	nptnb	neuroplastin b
NC_133196.1	42793038	42793657	0.727681744	14.94444445	284	cgi9660	0.912328046	94.57692309	52	-0.184646301	Hypo in FB	556663	mntb	MAX network transcriptional repressor b
NC_133194.1	44252218	44252460	0.669050073	10.0004386	117	cgi8775	0.484691917	39.22962963	23	0.184358157	Hyper in FB	557667;799532	trioa;crtc2	trio Rho guanine nucleotide exchange factor a;CREB regulated transcription coactivator 2
NC_133193.1	2756374	2756710	0.542941063	14.01333333	150	cgi8080	0.359437043	18.7125	34	0.18350402	Hyper in FB	566046	wtip	WT1 interacting protein
NC_133195.1	48357146	48357638	0.756994927	10.27094474	186	cgi9171	0.573711097	90.775	80	0.18328383	Hyper in FB	100537703	klhl29	kelch like family member 29
NC_133177.1	63456401	63458077	0.612848032	20.25865314	817	cgi1102	0.795228449	78.43837147	241	-0.182380417	Hypo in FB	100333916	wu:fj49a02	wu:fj49a02
NC_133181.1	50103489	50103733	0.68832891	12.66666667	90	cgi2982	0.506333608	85.25	44	0.181995302	Hyper in FB	564220	magi3b	"membrane associated guanylate kinase, WW and PDZ domain containing 3b"
NC_133200.1	35558332	35558567	0.758170171	13.67243867	130	cgi11118	0.5774578	89.325	40	0.180712371	Hyper in FB	100333114	tln2b	talin 2b
NC_133200.1	6209810	6210170	0.49177648	11.2689217	143	cgi10953	0.311636142	22.27777778	36	0.180140338	Hyper in FB	100333657	plxnb2b	plexin b2b
NC_133177.1	640839	641412	0.644305179	12.59435752	226	cgi647	0.824004837	40.46875	32	-0.179699658	Hypo in FB	100141333	znf1014	zinc finger protein 1014
NC_133194.1	40296005	40296350	0.644562906	16.12345679	162	cgi8760	0.464982703	71.60833333	55	0.179580203	Hyper in FB	557991	thsd7aa	"thrombospondin, type I, domain containing 7Aa"
NC_133182.1	54195255	54195461	0.482250646	12.9556781	105	cgi3550	0.6617931	20.625	21	-0.179542454	Hypo in FB	407985	tcf12	transcription factor 12
NC_133197.1	23144121	23144479	0.787392393	18.08585859	198	cgi10048	0.966813232	16.40554299	54	-0.179420839	Hypo in FB	560720	dennd1b	DENN/MADD domain containing 1B
NC_133182.1	19069095	19069595	0.716124797	15.02991453	234	cgi3311	0.89391742	76.96100714	133	-0.177792623	Hypo in FB	405804	kirrel1a	kirre like nephrin family adhesion molecule 1a
NC_133178.1	22620979	22621380	0.682803001	10.91828305	189	cgi1357	0.506081209	115.9375	32	0.176721792	Hyper in FB	no_gene	no_gene	no_gene
NC_133193.1	24817892	24818381	0.597521757	12.497998	216	cgi8206	0.421669006	123.3	60	0.17585275	Hyper in FB	562393	mctp2a	"multiple C2 domains, transmembrane 2a"
NC_133189.1	2562375	2562768	0.184609568	18.44623656	186	cgi6369	0.360456608	65.57142857	28	-0.17584704	Hypo in FB	554047;554048;554053;554054;554055;554056	pcdh2g1;pcdh2g2;pcdh2g5;pcdh2g6;pcdh2g7;pcdh2g8	protocadherin 2 gamma 1;protocadherin 2 gamma 2;protocadherin 2 gamma 5;protocadherin 2 gamma 6;protocadherin 2 gamma 7;protocadherin 2 gamma 8
NC_133194.1	7256618	7256861	0.165023146	11.36443495	161	cgi8595	0.340752185	17.27941176	52	-0.175729039	Hypo in FB	100537384	pou2f2a	POU class 2 homeobox 2a
NC_133181.1	3015460	3015705	0.452159954	12.74561404	114	cgi2747	0.277014481	97.24999999	44	0.175145473	Hyper in FB	570960	pbx1b	pre-B-cell leukemia homeobox 1b
NC_133180.1	45851763	45852009	0.515310911	11.63043478	138	cgi2390	0.688878407	72.75	72	-0.173567496	Hypo in FB	402923	dmrt1	doublesex and mab-3 related transcription factor 1
NC_133190.1	48037125	48037354	0.44491271	20.47368421	114	cgi7064	0.61836442	18.25	20	-0.17345171	Hypo in FB	no_gene	no_gene	no_gene
NC_133176.1	19047957	19048304	0.751089803	10.55952381	161	cgi195	0.578535565	101.7679739	52	0.172554238	Hyper in FB	406172	fat1a	FAT atypical cadherin 1a
NC_133177.1	27762787	27763088	0.716009993	10.13043478	114	cgi808	0.887980672	52.578125	64	-0.171970679	Hypo in FB	563352;141378158	kcnn1a;LOC141378158	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1a;uncharacterized LOC141378158"
NC_133186.1	7380272	7380497	0.950424603	21.30555556	108	cgi5145	0.778585548	84.97222222	24	0.171839055	Hyper in FB	100536921;141376529	si:ch73-238c9.1;LOC141376529	si:ch73-238c9.1;uncharacterized LOC141376529
NC_133193.1	2166435	2166652	0.403370067	14.9175	79	cgi8070	0.57294844	14.91765873	40	-0.169578373	Hypo in FB	796549	chst8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
NC_133185.1	27031245	27031504	0.00268931	13.38666667	150	cgi4862	0.172107645	20.69444445	30	-0.169418335	Hypo in FB	100002407	nlgn2b	neuroligin 2b
NC_133190.1	46544611	46544845	0.212337493	10.71470696	161	cgi7049	0.381541823	104.4047619	57	-0.169204331	Hypo in FB	30207	tyr	tyrosinase
NC_133185.1	49052427	49052841	0.140914758	12.95528455	246	cgi5033	0.310059693	70.21875	32	-0.169144935	Hypo in FB	393564	nr2f1b	"nuclear receptor subfamily 2, group F, member 1b"
