chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	predicted	PI_lower	PI_upper	outside_PI	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133179.1	13108311	13108564	0.385405522	15.1993464	107	cgi1811	0.734119781	60.89285715	47	0.710371305	0.558151589	0.862591021	TRUE	no_gene	no_gene	no_gene
NC_133191.1	36408771	36409235	0.602382403	18.96354167	192	cgi7359	0.299412056	88.17622378	52	0.28068653	0.128488163	0.432884897	TRUE	no_gene	no_gene	no_gene
NC_133193.1	21365081	21365612	0.098075898	11	222	cgi8187	0.440092645	89.12222222	39	0.419741587	0.267543176	0.571939997	TRUE	567457	skor1b	SKI family transcriptional corepressor 1b
NC_133185.1	50026745	50028193	0.317063175	10.77841007	606	cgi5044	0.013932873	17.17605042	112	-0.001494006	-0.153712474	0.150724462	TRUE	100331349;100329721	myo18b;cnnm3	myosin XVIIIB;cyclin and CBS domain divalent metal cation transport mediator 3
NC_133189.1	35591319	35591905	0.84550865	12.40697675	258	cgi6546	0.554932511	28.02777778	31	0.533254504	0.381051186	0.685457821	TRUE	378450	hs6st2	heparan sulfate 6-O-sulfotransferase 2
NC_133183.1	57890525	57890994	0.191568175	13.78378378	222	cgi4089	0.519591301	12.74166667	45	0.498321654	0.346120313	0.650522995	TRUE	796720;141375930	prdm16;LOC141375930	PR domain containing 16;uncharacterized LOC141375930
NC_133199.1	25662325	25662593	0.361179968	12.20008354	124	cgi10643	0.685030963	95.28125	32	0.661849698	0.509635534	0.814063862	TRUE	544667	flt1	fms related receptor tyrosine kinase 1
NC_133198.1	47986640	47988800	0.64551381	10.58414854	856	cgi10435	0.97184985	83.4375	32	0.945354457	0.793096542	1.097612372	TRUE	100151157	mepceb	methylphosphate capping enzyme b
NC_133182.1	57879947	57880436	0.970588776	10.44516386	214	cgi3561	0.69537085	139.1785714	28	0.67207011	0.519854843	0.824285377	TRUE	560364;100006612	adamts7;myo9aa	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7;myosin IXAa"
NC_133196.1	627531	627789	0.735594858	18.36419753	162	cgi9371	0.458504665	50.03571429	28	0.43794086	0.285741957	0.590139762	TRUE	335057	znf462	zinc finger protein 462
NC_133180.1	54048255	54048482	0.451928277	11.35197368	111	cgi2412	0.770215054	17.4	20	0.746049506	0.593825197	0.898273814	TRUE	393390	arb2a	ARB2 cotranscriptional regulator A
NC_133180.1	613647	615551	0.508741282	17.46914381	804	cgi2089	0.827072423	38.68333333	63	0.802249901	0.650017481	0.954482321	TRUE	767776	june	"JunE proto-oncogene, AP-1 transcription factor subunit"
NC_133189.1	108974	109276	0.858932153	20.45997537	173	cgi6250	0.587983782	112.6111111	36	0.565923875	0.413718335	0.718129416	TRUE	100009630	zbtb49	zinc finger and BTB domain containing 49
NC_133194.1	46886216	46886444	0.599218412	13.49537037	106	cgi8803	0.914315581	79.52777778	36	0.888484984	0.736238033	1.040731935	TRUE	566643	lrrc14b	leucine rich repeat containing 14B
NC_133200.1	39216962	39217439	0.677296452	10.49561404	210	cgi11216	0.409792438	103.4375	48	0.389791491	0.237593645	0.541989338	TRUE	no_gene	no_gene	no_gene
NC_133186.1	41530496	41530795	0.284733437	15.4048718	155	cgi5339	0.015543129	65.12115385	47	9.76E-05	-0.152120635	0.152315923	TRUE	553321	p3h1	prolyl 3-hydroxylase 1
NC_133195.1	39110756	39110999	0.641995721	10.97592592	105	cgi9120	0.381677143	97.33333333	24	0.362001063	0.209803468	0.514198658	TRUE	564874	tnfrsf21	"tumor necrosis factor receptor superfamily, member 21"
NC_133187.1	51664957	51666723	0.055194267	34.4684466	1236	cgi5817	0.354309107	62.02436846	415	0.334949258	0.182751656	0.487146861	TRUE	103171573;394082	chatb;slc18a3b	choline O-acetyltransferase b;solute carrier family 18 member 3b
NC_133191.1	41039214	41039544	0.769195185	10.72386128	163	cgi7378	0.511681077	72.92857143	28	0.49050283	0.338301875	0.642703786	TRUE	no_gene	no_gene	no_gene
NC_133183.1	335480	335738	0.915405219	22.675	120	cgi3734	0.665871502	120.3333333	24	0.64291162	0.490699406	0.795123834	TRUE	100333625	dmxl1	Dmx like 1
NC_133193.1	54127459	54127939	0.557720191	26.95182927	245	cgi8357	0.854207013	43.828125	61	0.829070957	0.676834288	0.981307626	TRUE	100330789	pdpr	pyruvate dehydrogenase phosphatase regulatory subunit
NC_133178.1	23649052	23649380	0.588661587	14.72666667	150	cgi1368	0.337020023	122.6130952	81	0.317859945	0.16566221	0.47005768	TRUE	100535636	LOC100535636	protein shisa-9
NC_133182.1	51186652	51186866	0.827021666	12.65625	96	cgi3531	0.578179896	73.26470588	68	0.556233271	0.404028428	0.708438114	TRUE	100149571	brsk2b	BR serine/threonine kinase 2b
NC_133182.1	26329652	26330000	0.151947445	14.67333333	150	cgi3377	0.441390819	77.22123016	54	0.42102476	0.268826318	0.573223202	TRUE	378987	zgc:77439	zgc:77439
NC_133177.1	61552223	61552547	0.616010271	10.0116843	167	cgi1048	0.372072318	140.828125	64	0.352507219	0.20030965	0.504704788	TRUE	100151059;100332965	lingo3b;onecut3b	leucine rich repeat and Ig domain containing 3b;one cut homeobox 3b
NC_133181.1	40037561	40038075	0.301095401	12.88596491	228	cgi2920	0.057454092	48.26666667	30	0.041524336	-0.110689321	0.193737992	TRUE	322209	jade3	jade family PHD finger 3
NC_133186.1	31042505	31042876	0.16538847	18.07407408	216	cgi5271	0.443585727	33.83333334	41	0.423194307	0.270995811	0.575392802	TRUE	569872	igsf21a	"immunoglobin superfamily, member 21a"
NC_133187.1	135453	137162	0.338758963	17.27568915	1035	cgi5455	0.61624906	99.30757332	244	0.593862554	0.441654825	0.746070284	TRUE	100331510	LOC100331510	"solute carrier family 2, facilitated glucose transporter member 11"
NC_133184.1	12158533	12158783	0.415747978	10.99354447	128	cgi4305	0.688314226	99.47916668	48	0.665095024	0.512880514	0.817309534	TRUE	565294	znf804a	zinc finger protein 804A
NC_133188.1	9743864	9744106	0.471350125	17.15	120	cgi5927	0.744157976	49.41161616	42	0.720293512	0.568072562	0.872514462	TRUE	141377133;335380	LOC141377133;neff2	uncharacterized LOC141377133;neuronal intermediate filament family member 2
NC_133192.1	10722732	10722992	0.539678086	12.70079365	125	cgi7672	0.808201095	36.46428572	28	0.783596627	0.631367018	0.935826235	TRUE	570491	npas3	neuronal PAS domain protein 3
NC_133193.1	54169904	54170220	0.886506701	13.55050505	196	cgi8364	0.666166004	17.1004902	47	0.643202719	0.490990476	0.795414962	TRUE	436620	tspan4a	tetraspanin 4a
NC_133184.1	57698043	57698748	0.914054732	14.11507937	293	cgi4546	0.695321937	17.6632353	43	0.672021762	0.5198065	0.824237023	TRUE	100147967	nlgn4xb	neuroligin 4 X-linked b
NC_133184.1	2856599	2856870	0.679130662	20.43181818	132	cgi4261	0.945988321	95.625	32	0.919791753	0.767538902	1.072044603	TRUE	141376046	LOC141376046	uncharacterized LOC141376046
NC_133186.1	46345460	46345834	0.661219452	10.92980296	172	cgi5392	0.441051805	16.23809524	21	0.420689664	0.26849123	0.572888098	TRUE	569678;548610	tmem63bb;gli2b	transmembrane protein 63Bb;GLI family zinc finger 2b
NC_133184.1	36399184	36399438	0.236911226	12.31455863	137	cgi4435	0.497589306	91.91666666	24	0.476573886	0.324373566	0.628774206	TRUE	no_gene	no_gene	no_gene
NC_133181.1	5039506	5039723	0.606142295	10.05555556	105	cgi2775	0.386927211	101.5343137	58	0.367190467	0.214992845	0.519388089	TRUE	100332617	nbeal1	neurobeachin-like 1
NC_133196.1	31993403	31994058	0.652963398	11.30697675	214	cgi9616	0.434466192	83.67794118	71	0.414180146	0.261981863	0.566378429	TRUE	557911	cxxc5a	CXXC finger protein 5a
NC_133194.1	8876871	8877411	0.78824187	15.01680543	281	cgi8615	0.571497596	130.581746	52	0.549628183	0.397423796	0.701832569	TRUE	100006039	znf687b	zinc finger protein 687b
NC_133198.1	643950	644685	0.862886249	10.46171737	311	cgi10147	0.647275568	94.53571429	28	0.624530558	0.47232012	0.776740995	TRUE	100000132	kcnk15	"potassium channel, subfamily K, member 15"
NC_133186.1	24007209	24007466	0.385614646	11.88293651	125	cgi5237	0.644601233	41.25	32	0.621887124	0.469676932	0.774097316	TRUE	557245;141376599	foxp4;LOC141376599	forkhead box P4;uncharacterized LOC141376599
NC_133193.1	19427746	19428327	0.214761961	13.34307568	265	cgi8175	0.467485119	16.5	32	0.446817547	0.294618363	0.59901673	TRUE	492735	si:ch211-212o1.2	si:ch211-212o1.2
NC_133187.1	51664083	51664333	0.052410565	35.32615385	154	cgi5816	0.303174716	62.50808825	71	0.284405713	0.132207431	0.436603995	TRUE	103171573	chatb	choline O-acetyltransferase b
NC_133185.1	441688	442473	0.689935266	10.43993322	358	cgi4676	0.945947661	22.4047619	78	0.919751562	0.767498719	1.072004405	TRUE	569498	kcnj6	potassium inwardly rectifying channel subfamily J member 6
NC_133189.1	1355658	1356166	0.165537808	11.21151717	253	cgi6304	0.413756247	55.17042004	88	0.3937095	0.241511597	0.545907403	TRUE	100333296	si:ch1073-303k11.2	si:ch1073-303k11.2
NC_133191.1	59618757	59619189	0.0329622	16.75	228	cgi7533	0.27784144	24.775	40	0.259365157	0.107166216	0.411564098	TRUE	101884083	rgs22	regulator of G protein signaling 22
NC_133185.1	50648592	50648906	0.832541024	13.18686869	157	cgi5054	0.629540735	44.225	40	0.607000647	0.454791796	0.759209497	TRUE	141376486;569999	LOC141376486;569999	uncharacterized LOC141376486;small nuclear ribonucleoprotein 35 (U11/U12)
NC_133195.1	29494613	29494987	0.533311303	15.27586207	174	cgi9063	0.780944454	25.38214286	28	0.75665493	0.604429173	0.908880687	TRUE	393461	gmds	"GDP-mannose 4,6-dehydratase"
NC_133200.1	2989900	2990297	0.544990453	10.22234537	176	cgi10912	0.342612476	62.45238095	84	0.323387779	0.171190097	0.47558546	TRUE	796289	kcnq1.2	"potassium voltage-gated channel, KQT-like subfamily, member 1.2"
NC_133184.1	25783285	25783501	0.662030187	13.20833333	144	cgi4366	0.908936854	64.875	40	0.883168407	0.730922425	1.035414389	TRUE	141376129;100150269	LOC141376129;hecw2a	"uncharacterized LOC141376129;HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2a"
NC_133192.1	10782555	10782770	0.510733219	11.9622807	100	cgi7674	0.755769735	143.325	80	0.731771099	0.57954868	0.883993518	TRUE	570491	npas3	neuronal PAS domain protein 3
NC_133184.1	31502365	31502646	0.46971271	12.74603175	126	cgi4403	0.710942274	42.04829546	59	0.687461609	0.535244614	0.839678604	TRUE	568868	il1rapl1a	interleukin 1 receptor accessory protein-like 1a
NC_133181.1	61686668	61686994	0.718638763	19.06521739	138	cgi3055	0.5260213	90.81666667	38	0.504677355	0.352475685	0.656879025	TRUE	561863	mbd6	methyl-CpG binding domain protein 6
NC_133184.1	53008849	53009105	0.784158987	10.82496393	127	cgi4510	0.592690926	91.15625	32	0.570576629	0.418370742	0.722782516	TRUE	101883600	LOC101883600	potassium voltage-gated channel subfamily H member 7
NC_133192.1	19934388	19934699	0.57720391	13.44555556	149	cgi7733	0.814805441	99.24431818	38	0.790124661	0.637894082	0.94235524	TRUE	no_gene	no_gene	no_gene
NC_133186.1	3975486	3975768	0.419316828	16.52173913	138	cgi5125	0.653666171	14.18181818	41	0.630847319	0.478636284	0.783058354	TRUE	565366	pbrm1	polybromo 1
NC_133194.1	50347093	50347306	0.683066072	15.77339181	113	cgi8824	0.494169568	56.5	28	0.473193663	0.320993487	0.625393839	TRUE	497281	ext1c	exostoses (multiple) 1c
NC_133184.1	56092198	56094589	0.325802209	20.03267792	1168	cgi4530	0.132773921	80.06169949	159	0.115973861	-0.036232953	0.268180675	TRUE	100002026	si:ch211-199f5.1	si:ch211-199f5.1
NC_133178.1	16724728	16724929	0.654437236	12.20206972	107	cgi1292	0.466171802	103.95	20	0.445519405	0.293320264	0.597718546	TRUE	325896	cnp	"2'',3''-cyclic nucleotide 3'' phosphodiesterase"
NC_133188.1	30330424	30330650	0.435346079	10.88991013	105	cgi6028	0.245565447	83.9375	32	0.227462106	0.075262018	0.379662195	TRUE	557196	slc24a3	solute carrier family 24 member 3
NC_133193.1	1814688	1814987	0.705789485	11.69333333	150	cgi8066	0.52039502	116.4222874	97	0.499116086	0.346914704	0.651317467	TRUE	403006	nptnb	neuroplastin b
NC_133193.1	19219641	19220035	0.64200805	16.75200085	176	cgi8171	0.456172404	35.75	36	0.435635547	0.283436713	0.587834382	TRUE	566696	znf423	zinc finger protein 423
NC_133194.1	44252218	44252460	0.669050073	10.0004386	117	cgi8775	0.484691917	39.22962963	23	0.463825524	0.311625727	0.61602532	TRUE	557667;799532	trioa;crtc2	trio Rho guanine nucleotide exchange factor a;CREB regulated transcription coactivator 2
NC_133195.1	48357146	48357638	0.756994927	10.27094474	186	cgi9171	0.573711097	90.775	80	0.551816108	0.399611572	0.704020644	TRUE	100537703	klhl29	kelch like family member 29
NC_133188.1	47208191	47208470	0.361257242	11.22222222	126	cgi6148	0.173981799	36.60714286	28	0.156705592	0.004501724	0.308909459	TRUE	100003558	ablim1a	actin binding LIM protein 1a
NC_133180.1	20278361	20278607	0.444126654	10.84205408	135	cgi2226	0.258012821	16.375	20	0.239765653	0.087566048	0.391965258	TRUE	793922	fam222aa	family with sequence similarity 222 member Aa
NC_133189.1	3019328	3019576	0.587656476	15.65873016	126	cgi6392	0.816502603	10.4	31	0.791802213	0.639571382	0.944033044	TRUE	137487557;359829;141377664	LOC137487557;fgf18a;LOC141377664	uncharacterized LOC137487557;fibroblast growth factor 18a;uncharacterized LOC141377664
NC_133181.1	50103489	50103733	0.68832891	12.66666667	90	cgi2982	0.506333608	85.25	44	0.48521715	0.333016444	0.637417857	TRUE	564220	magi3b	"membrane associated guanylate kinase, WW and PDZ domain containing 3b"
NC_133193.1	2756374	2756710	0.542941063	14.01333333	150	cgi8080	0.359437043	18.7125	34	0.340017942	0.18782036	0.492215524	TRUE	566046	wtip	WT1 interacting protein
NC_133179.1	13307832	13308120	0.629806025	10.78502415	136	cgi1813	0.85788398	173.525	40	0.832705437	0.680468174	0.9849427	TRUE	no_gene	no_gene	no_gene
NC_133200.1	35558332	35558567	0.758170171	13.67243867	130	cgi11118	0.5774578	89.325	40	0.555519519	0.403314725	0.707724312	TRUE	100333114	tln2b	talin 2b
NC_133190.1	26107107	26107386	0.3994694	11.94871795	156	cgi6897	0.624521662	115.825	80	0.602039568	0.449831147	0.754247988	TRUE	571279	mark4b	MAP/microtubule affinity-regulating kinase 4b
NC_133196.1	40257254	40258091	0.201918207	10.33516496	321	cgi9644	0.015844168	92.02083334	96	0.000395205	-0.151823039	0.152613449	TRUE	560654	arl10	ADP-ribosylation factor-like 10
NC_133177.1	3766465	3766975	0.000984184	15.7688172	372	cgi688	0.219856409	21.98358586	72	0.20205013	0.04984888	0.35425138	TRUE	141377726;403002	LOC141377726;c1ql3b	"uncharacterized LOC141377726;complement component 1, q subcomponent-like 3b"
NC_133185.1	4306039	4306333	0.552667045	10.14166667	120	cgi4752	0.777947346	21.36111111	32	0.753692453	0.601467104	0.905917801	TRUE	100331958	ttc28	tetratricopeptide repeat domain 28
NC_133184.1	58796965	58797188	0.127863602	22.4122807	114	cgi4565	0.347799267	92.6875	32	0.328514638	0.176316997	0.480712279	TRUE	no_gene	no_gene	no_gene
NC_133194.1	40296005	40296350	0.644562906	16.12345679	162	cgi8760	0.464982703	71.60833333	55	0.444344046	0.292144943	0.596543148	TRUE	557991	thsd7aa	"thrombospondin, type I, domain containing 7Aa"
NC_133176.1	51999330	51999594	0.377246381	10.13865546	122	cgi351	0.599579806	57.13888889	36	0.577385909	0.425179503	0.729592316	TRUE	557882;100332340	gsk3bb;sorcs1	"glycogen synthase kinase 3 beta, genome duplicate b;sortilin-related VPS10 domain containing receptor 1"
NC_133181.1	27286478	27286698	0.105927961	10.02	100	cgi2876	0.324800682	147.175	40	0.305781796	0.153583908	0.457979685	TRUE	137490211;100001699	LOC137490211;barhl2	uncharacterized LOC137490211;BarH-like homeobox 2
NC_133200.1	6209810	6210170	0.49177648	11.2689217	143	cgi10953	0.311636142	22.27777778	36	0.292769369	0.140571259	0.444967479	TRUE	100333657	plxnb2b	plexin b2b
NC_133178.1	22620979	22621380	0.682803001	10.91828305	189	cgi1357	0.506081209	115.9375	32	0.484967667	0.332766972	0.637168363	TRUE	no_gene	no_gene	no_gene
NC_133186.1	7380272	7380497	0.950424603	21.30555556	108	cgi5145	0.778585548	84.97222222	24	0.754323281	0.602097845	0.906548717	TRUE	100536921;141376529	si:ch73-238c9.1;LOC141376529	si:ch73-238c9.1;uncharacterized LOC141376529
NC_133193.1	24817892	24818381	0.597521757	12.497998	216	cgi8206	0.421669006	123.3	60	0.401530829	0.249332798	0.55372886	TRUE	562393	mctp2a	"multiple C2 domains, transmembrane 2a"
NC_133180.1	11892808	11893039	0.719659004	16.47101449	138	cgi2183	0.940323517	78.62499999	24	0.914192404	0.761940633	1.066444175	TRUE	141385758	LOC141385758	uncharacterized LOC141385758
NC_133176.1	19047957	19048304	0.751089803	10.55952381	161	cgi195	0.578535565	101.7679739	52	0.55658483	0.404379962	0.708789698	TRUE	406172	fat1a	FAT atypical cadherin 1a
NC_133177.1	62606021	62606381	0.718167574	12.97312999	197	cgi1069	0.938360135	111.9821429	56	0.912251708	0.760000309	1.064503108	TRUE	101883651	tmem200cb	"transmembrane protein 200C, genome duplicate b"
NC_133181.1	3015460	3015705	0.452159954	12.74561404	114	cgi2747	0.277014481	97.24999999	44	0.258547754	0.106348788	0.41074672	TRUE	570960	pbx1b	pre-B-cell leukemia homeobox 1b
NC_133186.1	32455264	32455653	0.623528394	14.66111111	180	cgi5277	0.84159531	48.84027778	21	0.816604979	0.664370315	0.968839643	TRUE	559341	cdkl5	cyclin dependent kinase like 5
NC_133189.1	1061047	1061469	0.809309285	12.16731368	154	cgi6297	0.640819037	46.39473685	76	0.61814863	0.465938783	0.770358478	TRUE	100329340	slc34a1a	solute carrier family 34 member 1a
NC_133198.1	26376040	26376416	0.385437181	19.71333333	150	cgi10272	0.595866365	24.33333333	36	0.573715376	0.421509252	0.725921501	TRUE	137489184	LOC137489184	uncharacterized LOC137489184
NC_133177.1	60074168	60074444	0.899815441	11.88369565	108	cgi1028	0.738627294	113.5333333	60	0.714826735	0.562606469	0.867047001	TRUE	556955	arhgap45a	Rho GTPase activating protein 45a
NC_133187.1	16643204	16643572	0.668774739	15.871337	166	cgi5593	0.878464553	67.90879773	79	0.853048207	0.700807533	1.005288881	TRUE	571519	med1	mediator complex subunit 1
NC_133179.1	3129150	3129555	0.732926249	10.42857143	168	cgi1716	0.943155604	32.7	20	0.916991767	0.764739457	1.069244076	TRUE	567051	pde3a	"phosphodiesterase 3A, cGMP-inhibited"
NC_133182.1	1212483	1213223	0.617228255	13.31717866	331	cgi3136	0.453976829	72.93940569	178	0.433465342	0.281266571	0.585664114	TRUE	100333928;101886622;110439911	alpk1;si:cabz01076231.1;LOC110439911	alpha-kinase 1;si:cabz01076231.1;uncharacterized LOC110439911
NC_133176.1	57438236	57438439	0.528956087	15.8627451	102	cgi420	0.365407858	95.85000001	60	0.345919766	0.193722196	0.498117335	TRUE	101883094	ccsapa	"centriole, cilia and spindle-associated protein a"
NC_133193.1	54062181	54062447	0.655944494	25.68333333	120	cgi8346	0.497126301	61.75	40	0.476116232	0.323915931	0.628316532	TRUE	260303	reln	reelin
NC_133187.1	51690221	51690734	0.939326247	20.65384616	234	cgi5822	0.785218254	14.29166667	35	0.760879347	0.608653002	0.913105692	TRUE	108191765	LOC108191765	cadherin-related family member 1a
NC_133176.1	55283749	55284085	0.493466336	12.98816288	197	cgi387	0.335634104	107	40	0.316490041	0.164292291	0.468687791	TRUE	103909284	nfixa	nuclear factor I/Xa
NC_133186.1	22119609	22119825	0.349839483	19.47368421	114	cgi5230	0.54743361	30.78571429	28	0.525842251	0.373639388	0.678045114	TRUE	100333933;100148013	cadpsa;si:dkey-274m17.3	Ca2+-dependent activator protein for secretion a;si:dkey-274m17.3
NC_133183.1	21543762	21544148	0.018228225	12.30666667	147	cgi3915	0.211886754	22.69444445	39	0.194172563	0.041970909	0.346374217	TRUE	30525	foxd2	forkhead box D2
NC_133185.1	4225079	4225332	0.37491912	10.69553377	106	cgi4746	0.572623462	34.72727273	44	0.55074104	0.398536578	0.702945502	TRUE	100331958	ttc28	tetratricopeptide repeat domain 28
NC_133181.1	1403985	1404389	0.498467703	16.67567568	222	cgi2733	0.34223355	104.425	80	0.323013231	0.170815546	0.475210915	TRUE	564934	zeb2b	zinc finger E-box binding homeobox 2b
NC_133181.1	188829	189070	0.931633581	20.99404762	168	cgi2691	0.781094276	12.725	22	0.756803021	0.604577243	0.909028799	TRUE	100333252	cdkn2d	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"
NC_133198.1	46564116	46564373	0.1171951	14.98550725	138	cgi10419	0.310458151	29.625	64	0.291604989	0.139406857	0.443803122	TRUE	562742	dlgap4a	"discs, large (Drosophila) homolog-associated protein 4a"
NC_133191.1	51235973	51236732	0.452150751	16.23148148	324	cgi7436	0.64813959	82.96428572	28	0.625384596	0.473174079	0.777595114	TRUE	386994;100332760	rab11al;mex3a	"RAB11a, member RAS oncogene family, like;mex-3 RNA binding family member A"
NC_133195.1	558773	559114	0.509305222	11.3486715	139	cgi8882	0.705843002	23.66071429	56	0.682421259	0.530204839	0.834637679	TRUE	568713	dse	dermatan sulfate epimerase
NC_133193.1	53974462	53974795	0.73636508	14.25861111	149	cgi8339	0.935280521	37	32	0.909207679	0.75695686	1.061458498	TRUE	445561	cttn	cortactin
NC_133199.1	38297822	38298271	0.068592726	11.92148155	260	cgi10726	0.258802081	71.196875	121	0.240545794	0.088346219	0.39274537	TRUE	324332;142985	agap3;gbx1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3;gastrulation brain homeobox 1"
NC_133191.1	20832831	20833070	0.370416376	16.66666667	108	cgi7269	0.216593197	23.08333334	40	0.198824624	0.046623211	0.351026037	TRUE	no_gene	no_gene	no_gene
NC_133185.1	44612899	44613121	0.635466331	15.47621832	117	cgi4997	0.831871556	94.62500001	24	0.806993581	0.654760427	0.959226734	TRUE	571887	kirrel3a	kirre like nephrin family adhesion molecule 3a
